entid,honor_num,illegad_num,yea_sub,web_dum,ENTTYPE,INDUSTRYPHY,REGCAP,REGCAPCUR,RECCAP,PARNUM,LIMPARNUM,PARFORM,EXENUM,brand_num,cancel_dum,certificate_num,tax_dum,CaseType
954239726,,,,0,3,11,100.0,156.0,0.0,,,,,,0,,0,0
954239726,,,,0,3,11,100.0,156.0,0.0,,,,,,0,,0,0
1032764109,,,,0,5,11,2000.0,156.0,2000.0,,,,0.0,,0,,0,3
283120087,,,,1,4,9,20000.0,156.0,20000.0,,,,,,0,,0,3
1133220134,,,,0,4,11,61224.9,156.0,0.0,,,,,,0,,0,3
873360537,,,,0,8,11,1280.0,156.0,1280.0,,,,,,0,,0,3
133252686,,,,0,3,9,501.0,156.0,0.0,,,,,,0,,0,3
334660907,,,,1,28,9,0.0,,0.0,,,,0.0,,0,,0,3
348703566,,,,0,27,9,0.0,156.0,0.0,,,,,,1,1.0,0,3
482244002,,,,0,3,5,500.0,156.0,500.0,,,,,,0,,0,3
102673201,,,,0,3,11,5000.0,156.0,5000.0,,,,,,0,,0,3
693676134,,,,0,33,9,,,0.0,,,,,,0,1.0,0,3
516212728,,,,0,3,11,1000.0,156.0,1000.0,,,,,,0,,0,3
252045506,,,,0,3,11,1000.0,156.0,1000.0,,,,,,0,,0,3
1007251516,,,,1,7,11,39998.4,156.0,21998.4,,,,,,0,,0,3
341104627,,,,0,3,11,5000.0,156.0,3000.0,,,,0.0,,0,,0,3
220448783,,,,0,3,11,5000.0,156.0,0.0,,,,,,0,,0,3
516820430,,,,0,3,11,8423.0,156.0,8423.0,,,,,,0,,0,0
211101804,,,,0,3,8,110.0,156.0,110.0,,,,,,1,,0,3
547440553,,,,0,3,11,1000.0,156.0,1000.0,,,,,,0,,0,3
740244329,,1.0,,0,3,11,110.0,156.0,110.0,,,,,,0,,0,3
691454697,,,,0,3,11,100.0,156.0,100.0,,,,,,0,,0,3
1112373491,,,,0,28,9,0.0,,0.0,,,,,,0,1.0,0,3
971092189,,,,0,27,9,0.0,,0.0,,,,0.0,,0,1.0,0,3
232565764,,,,0,33,8,0.0,,0.0,,,,0.0,,0,1.0,0,3
25283915,,,,0,39,9,5.0,156.0,0.0,,,,,,0,,0,3
219381665,,,,0,3,11,1000.0,156.0,0.0,,,,,,0,,0,3
575004686,,,,0,3,11,100.0,156.0,100.0,,,,,,0,,0,3
36393553,,,,0,3,11,100.0,156.0,100.0,,,,,,0,,0,3
64662931,,,,0,28,9,,,0.0,,,,0.0,,0,,0,3
1201305728,,,,0,35,9,8.0,156.0,8.0,,,,,,1,,0,2
423078773,,,,0,39,2,6.0,156.0,6.0,,,,,,0,,0,3
166396479,,,,0,3,14,3000.0,156.0,3000.0,,,,,,0,1.0,0,3
549310412,,,,0,27,9,0.0,,0.0,,,,0.0,,0,1.0,0,1
533954281,,,,0,5,11,50.0,156.0,50.0,,,,0.0,,0,,0,3
790901023,,,,0,22,9,,,0.0,,,,,,0,,0,3
439588592,,,,0,3,11,3000.0,156.0,3000.0,,,,0.0,,0,,0,3
819159156,,,,0,3,11,100.0,156.0,100.0,,,,,,0,,0,3
774143406,,,,0,3,11,1000.0,156.0,200.0,,,,0.0,,0,,0,3
643995819,,,,0,45,5,30.0,156.0,30.0,,,,,,0,2.0,0,1
312112730,,,,0,5,11,10.0,156.0,10.0,,,,0.0,,0,,0,3
221711104,,,,0,3,11,6000.0,156.0,6000.0,,0.0,9,,,0,,0,2
858710610,,,,0,3,11,11800.0,156.0,,,,,,,0,,0,3
989495682,,,,0,3,11,1500.0,156.0,,,,,,,0,,0,3
24295028,,,,0,1,11,50000.0,156.0,10000.0,,,,,,0,,0,3
532580930,,,,0,3,11,1000.0,156.0,1000.0,,,,,,0,,0,3
100724777,,,,0,5,9,3000.0,156.0,3000.0,,,,,,0,1.0,0,3
1113909111,,,,0,3,11,3.0,156.0,3.0,,,,,,0,,0,3
185127097,,,,0,45,7,1.0,156.0,0.0,,,,,,0,2.0,0,3
916447957,,,,0,3,11,15000.0,156.0,15000.0,,,,,,0,,0,3
1027568465,,,,0,44,11,27.4,156.0,550.0,,,,,,0,,0,3
748718009,,,,0,3,9,30000.0,156.0,0.0,,,,,,0,,0,3
982196289,,,,0,3,11,125.0,156.0,50.0,,,,,,0,,0,3
210167448,,,,0,44,11,4600.0,156.0,0.0,,,,,,0,,0,3
955997658,,,,0,5,11,5000.0,156.0,0.0,,,,,,0,,0,3
332305361,,,,0,3,11,300.0,156.0,300.0,,,,,,0,,0,3
1001226199,,,,0,5,11,1000.0,156.0,0.0,,,,,,0,,0,3
1190925362,,,,0,44,11,10.0,156.0,0.0,,,,,,0,,0,3
581046359,,,,0,44,11,10.0,156.0,0.0,,,,,,0,,0,3
1034982777,,,,0,3,12,1000.0,156.0,1000.0,,,,,,0,,0,3
909295164,,,,0,7,9,200.0,156.0,200.0,,,,,,0,1.0,0,3
887911034,,,,0,3,11,12500.0,156.0,0.0,,,,,,0,,0,3
896254795,,,,0,3,11,10000.0,156.0,10000.0,,,,,,0,,0,3
1103426680,,,,1,3,9,100.0,156.0,0.0,,,,,,1,,0,3
1079431533,,,,0,27,9,0.0,156.0,0.0,,,,,,0,1.0,0,3
387113835,,,,0,47,9,210.0,840.0,210.0,,,,,,0,11.0,0,3
127746,,,,0,3,11,1000.0,156.0,1000.0,,,,,,0,,0,3
65683190,,,,0,1,11,6000.0,156.0,6000.0,,,,,,0,,0,3
411188025,,,,0,3,11,3.0,156.0,3.0,,,,,,0,,0,3
632694374,,,,0,3,11,10.0,156.0,10.0,,,,,,0,,0,3
920939603,,,,0,3,11,1.0,156.0,,,,,,,0,,0,3
594662985,,,,0,5,11,5000.0,156.0,5000.0,,,,,,0,,0,3
1223495456,,,,0,3,11,2000.0,156.0,2000.0,,,,,,0,,0,3
982108430,,,,0,17,11,,,0.0,,,,0.0,,0,,0,3
786901755,,,,0,3,11,100.0,156.0,20.0,,,,,,0,,0,3
890691479,,,,0,3,11,20.0,156.0,20.0,,,,0.0,,0,,0,3
252988494,,,,0,3,11,100.0,156.0,100.0,,,,0.0,,0,,0,3
944659388,,,,0,3,11,2000.0,156.0,2000.0,,,,,,0,,0,3
1212253508,,,,0,7,11,2000.0,156.0,2000.0,0.0,0.0,,0.0,,0,,0,3
1190939067,,,,0,3,11,500.0,156.0,500.0,,,,,,0,,0,3
190939668,,,,0,5,11,200.0,156.0,0.0,,,,,,0,,0,3
662876209,,,,0,3,11,10.0,156.0,0.0,,,,0.0,,0,,0,3
487814001,,,,0,3,11,2000.0,156.0,0.0,,,,0.0,,0,,0,3
1151638109,,,,0,3,11,500.0,156.0,0.0,,,,0.0,,0,,0,3
896252612,,,,0,5,16,2000.0,156.0,0.0,,,,,,0,,0,3
189295442,,,,0,3,11,10.0,156.0,10.0,,,,,,0,,0,3
922667663,,,,0,5,11,1000.0,156.0,0.0,,,,0.0,,0,,0,3
219277588,,,,0,3,11,500.0,156.0,500.0,,,,,,0,,0,3
722415296,,,,0,3,11,3000.0,156.0,0.0,,,,0.0,,0,,0,3
47765794,,,,0,3,11,2000.0,156.0,2000.0,,,,,,0,,0,3
1074939474,,,,0,3,11,2000.0,156.0,2000.0,,,,,,0,,0,3
1085075577,,,,0,17,9,0.0,,0.0,,,,0.0,,0,,0,3
661542888,,,,0,5,11,10000.0,156.0,0.0,,,,0.0,,0,,0,3
615010244,,,,0,3,9,100.0,156.0,0.0,,,,0.0,,0,,0,3
601440257,,,,0,3,11,1000.0,156.0,1000.0,0.0,0.0,,0.0,,0,,0,3
98897555,,,,0,3,9,10000.0,156.0,0.0,,,,0.0,,0,,0,3
359148977,,,,0,5,11,5000.0,156.0,0.0,,,,,,0,,0,3
773782695,,,,0,5,11,50.0,156.0,0.0,,,,,,0,,0,3
777755253,,,,0,27,9,0.0,156.0,0.0,,,,,,0,1.0,0,3
934595872,,,,0,3,11,3239.0,156.0,3239.0,0.0,0.0,,0.0,,0,,0,3
966961259,,,,0,24,9,0.0,156.0,0.0,0.0,0.0,,0.0,,0,1.0,0,3
315181301,,,,0,3,11,100.0,156.0,0.0,,,,,,0,,0,3
701756227,,,,0,51,9,0.0,840.0,0.0,,,,,,0,1.0,0,3
364364966,,,,0,17,11,0.0,,0.0,,,,0.0,,0,,0,3
604201658,,,,0,28,9,0.0,,0.0,,,,0.0,,0,1.0,0,3
1100869661,,,,0,3,12,50.0,156.0,10.0,,,,0.0,,0,,0,3
73384809,,,,0,5,9,20.0,156.0,20.0,,,,0.0,,0,,0,3
1102534779,,,,0,3,11,2000.0,156.0,2000.0,,,,,,0,,0,0
1180550222,,,,0,8,11,500.0,156.0,500.0,,,,,,0,,0,3
148194467,,,,0,3,11,300.0,156.0,300.0,,,,0.0,,0,,0,0
176043597,,,,0,3,11,100.0,156.0,100.0,,,,0.0,,0,,0,3
75481607,,,,0,5,11,100.0,156.0,0.0,,,,0.0,,0,,0,3
138665184,,,,0,3,11,11000.0,156.0,0.0,,,,,,0,,0,3
224078802,,,,0,16,11,0.0,,0.0,,,,,,0,,0,3
82117723,,,,0,5,11,5.0,156.0,0.0,,,,0.0,,0,,0,3
1041614706,,,,0,51,9,0.0,840.0,0.0,,,,,,0,1.0,0,3
651350596,,,,0,5,11,50.0,156.0,0.0,,,,0.0,,0,,0,3
1037276358,,,,0,3,11,100.0,156.0,0.0,,,,,,0,,0,3
813963206,,,,0,17,11,0.0,,0.0,,,,0.0,,0,,0,3
108551665,,,,0,27,9,0.0,156.0,0.0,,,,,,0,1.0,0,3
277248694,,,,0,14,11,23000.0,156.0,30000.0,0.0,0.0,,0.0,,0,,0,3
1116063280,,,,0,5,11,500.0,156.0,500.0,,,,,,0,,0,3
15678213,,,,0,12,11,5000.0,156.0,0.0,,,,0.0,,0,,0,3
1220196703,,,,0,3,9,100.0,156.0,0.0,,,,0.0,,0,,0,3
640968401,,,,0,6,11,700.0,156.0,6000.0,,,,,,0,,0,3
256615940,,,,0,5,11,300.0,156.0,0.0,,,,0.0,,0,,0,3
1066230471,,,,0,3,0,3080.0,156.0,3080.0,,,,,,0,,0,3
785979544,,,,1,3,11,2000.0,156.0,2000.0,0.0,0.0,,0.0,,0,,0,3
472401174,,,,0,7,11,10000.0,156.0,0.0,,,,0.0,,0,,0,3
754806435,,,,0,13,11,20.0,156.0,0.0,,,,,,0,,0,3
193764953,,,,0,5,11,5000.0,156.0,0.0,,,,,,0,,0,3
137887832,,,,0,5,11,50.0,156.0,50.0,,,,,,0,,0,3
563543209,,,,0,3,11,1000.0,156.0,200.0,,,,,,0,,0,3
320133386,,,,1,27,9,0.0,,0.0,,,,,,0,1.0,0,3
167537706,,,,0,5,11,500.0,156.0,0.0,,,,0.0,,0,,0,3
608621770,,,,0,3,11,800.0,156.0,500.0,,,,0.0,,0,,0,3
957798659,,,,0,3,11,500.0,156.0,500.0,,,,,,0,,0,3
932639370,,,,0,3,10,3.0,156.0,3.0,,,,0.0,,0,,0,3
87460021,,,,0,3,11,1000.0,156.0,0.0,,,,0.0,,0,,0,3
1049675770,,,,0,16,9,0.0,,0.0,,,,0.0,,0,,0,3
972256210,,,,0,5,11,2000.0,156.0,0.0,,,,,,0,,0,3
542928036,,,,0,3,11,1000.0,156.0,0.0,,,,0.0,,0,,0,3
470090013,,,,0,5,11,300.0,156.0,0.0,,,,0.0,,0,,0,3
848068003,,,,0,5,11,10.0,156.0,10.0,0.0,0.0,,0.0,,0,,0,3
777389681,,,,0,3,11,5000.0,156.0,5000.0,,,,,,0,,0,3
728197693,,,,0,3,11,500.0,156.0,500.0,,,,,,0,,0,3
213804497,,,,0,3,11,500.0,156.0,0.0,,,,0.0,,0,,0,3
1090257579,,,,0,3,11,500.0,156.0,500.0,,,,,,0,,0,3
134161471,,,,0,3,11,3000.0,156.0,3000.0,,,,,,0,,0,3
109252429,,,,0,3,11,500.0,156.0,500.0,,,,,,0,,0,3
1010536331,,,,0,3,11,500.0,156.0,500.0,,,,,,0,,0,3
1183612658,,,,0,3,11,1000.0,156.0,1000.0,,,,,,0,,0,3
871120598,,,,0,3,11,500.0,156.0,0.0,,,,,,0,,0,3
869389017,,,,0,5,11,500.0,156.0,500.0,,,,,,0,,0,3
758012511,,,,0,3,11,1000.0,156.0,1000.0,,,,,,0,,0,3
1151486512,,,,0,3,11,50.0,156.0,0.0,,,,,,0,,0,3
901159650,,,,0,5,9,500.0,156.0,0.0,,,,,,0,,0,3
55745086,,,,0,3,11,1150.0,156.0,1150.0,,,,,,0,,0,3
763566074,,,,0,3,11,50.0,156.0,50.0,,,,,,0,1.0,0,3
1133313391,,,,0,5,9,10.0,156.0,10.0,,,,0.0,,0,,0,3
1145631240,,,,0,5,11,100.0,156.0,100.0,,,,,,0,,0,3
272730092,,,,1,8,11,50000.0,156.0,50000.0,,,,,,0,,0,3
996937902,,,,0,3,11,450.0,156.0,450.0,,,,,,0,1.0,0,3
115339998,,,,0,3,5,50.0,156.0,50.0,,,,,,0,1.0,0,3
897522411,,,,0,3,11,50.0,156.0,10.0,,,,,,0,,0,3
493833765,,,,0,5,11,480.0,156.0,480.0,,,,,,0,1.0,0,3
215297274,,,,0,17,11,,156.0,0.0,,,,0.0,,0,,0,3
477609768,,,,0,17,11,0.0,,0.0,,,,,,0,,0,3
181520887,,,,0,27,9,0.0,,0.0,,,,0.0,,0,1.0,0,3
1201326906,,,,0,5,11,500.0,156.0,0.0,,,,,,0,,0,3
1088282626,,,,0,3,11,2000.0,156.0,0.0,,,,0.0,,0,,0,3
109197793,,,,0,5,11,100.0,156.0,0.0,,,,,,0,,0,3
677486778,,,,0,16,11,,156.0,0.0,,,,0.0,,0,,0,3
842321361,,,,0,3,11,10.0,156.0,10.0,,,,,,0,1.0,0,3
195013822,,,,0,5,11,100.0,156.0,100.0,0.0,0.0,,0.0,,0,,0,3
758105004,,,,0,3,11,5000.0,156.0,0.0,,,,,,0,,0,3
769345668,,,,0,5,11,20.0,156.0,0.0,,,,0.0,,0,,0,3
304078443,,,,0,3,11,10.0,156.0,10.0,,,,0.0,,0,1.0,0,3
379616714,,,,0,3,11,3.0,156.0,3.0,,,,,,0,1.0,0,3
672691887,,,,0,3,11,20.0,156.0,20.0,,,,,,0,1.0,0,3
689807604,,,,0,3,11,50.0,156.0,50.0,,,,,,0,1.0,0,3
225865950,,,,0,3,11,50.0,156.0,50.0,,,,,,0,1.0,0,0
560635202,,,,0,3,9,3.0,156.0,0.0,,,,0.0,,0,,0,3
85625020,,,,0,17,11,0.0,156.0,0.0,,,,,,0,1.0,0,3
332412177,,,,0,3,11,50.0,156.0,50.0,,,,,,0,1.0,0,3
950964030,,,,0,5,11,10000000.0,156.0,30.0,,,,0.0,,0,,0,3
351807698,,,,0,5,11,100.0,156.0,100.0,,,,,,0,1.0,0,3
122220175,,,,0,3,11,100.0,156.0,0.0,,,,,,0,,0,3
1164000197,,,,0,3,11,3.0,156.0,3.0,,,,,,0,1.0,0,3
749517298,,,,0,3,11,100.0,156.0,100.0,,,,0.0,,0,1.0,0,3
392624698,,,,0,17,11,0.0,156.0,0.0,,,,,,0,1.0,0,3
29156211,,,,0,3,11,3000.0,156.0,490.0,,,,,,0,1.0,0,3
1201058246,,,,0,3,11,600.0,156.0,600.0,,,,,,0,,0,3
275122329,,,,0,3,14,20.0,156.0,20.0,,,,,,0,1.0,0,3
21702078,,,,0,3,11,100.0,156.0,0.0,,,,0.0,,0,,0,3
763126220,,,,0,21,11,0.0,,0.0,,,,0.0,,0,,0,3
521978266,,,,0,3,11,1000.0,156.0,1000.0,,,,,,0,,0,3
530658986,,,,0,5,11,100.0,156.0,0.0,,,,,,0,,0,3
19612741,,,,0,3,11,5000.0,156.0,5000.0,,,,,,0,,0,3
907519372,,,,0,3,11,1000.0,156.0,300.0,,,,,,0,,0,0
907519372,,,,0,3,11,1000.0,156.0,300.0,,,,,,0,,0,0
808713634,,,,0,8,11,30.0,156.0,30.0,,,,,,0,,0,3
747756688,,,,0,23,9,0.0,156.0,0.0,0.0,0.0,,0.0,,0,1.0,0,3
150872418,,,,0,3,11,100.0,156.0,0.0,,,,,,0,,0,3
534061844,,,,1,16,9,0.0,156.0,0.0,,,,,,0,1.0,0,3
541611389,,,,0,51,9,0.0,840.0,0.0,,,,,,0,1.0,0,3
16370806,,,,0,3,11,50.0,156.0,50.0,,,,0.0,,0,1.0,0,3
163955432,,,,0,3,11,5.0,156.0,0.0,,,,0.0,,0,,0,3
267064445,,,,0,7,11,6000.0,156.0,6000.0,,,,0.0,,0,,0,3
753544918,,,,0,7,11,2000.0,156.0,2000.0,,,,0.0,,0,,0,3
779872233,,,,0,3,11,100.0,156.0,100.0,,,,,,0,,0,3
613690678,,,,0,17,11,0.0,156.0,0.0,,,,,,0,,0,3
35566715,,,,0,57,11,0.0,156.0,0.0,,,,0.0,,0,,0,0
137040147,,,,0,3,9,100.0,156.0,0.0,,,,,,0,,0,3
462629255,,,,0,21,11,0.0,,0.0,,,,0.0,,0,,0,3
1036107901,,,,0,8,11,1000.0,156.0,0.0,,,,0.0,,0,,0,3
370924930,,,,0,5,11,200.0,156.0,0.0,,,,,,0,,0,3
473603328,,,,0,3,11,50.0,156.0,50.0,,,,,,0,,0,3
1126948899,,,,0,3,11,50.0,156.0,50.0,,,,0.0,,0,,0,3
1094770755,,,,0,3,11,100.0,156.0,100.0,,,,,,0,1.0,0,3
849377837,,,,0,3,11,2000.0,156.0,2000.0,,,,,,0,,0,3
779853295,,,,0,8,11,5000.0,156.0,5000.0,,,,0.0,,0,,0,3
1074043626,,,,0,3,11,2000.0,156.0,2000.0,,,,0.0,,0,,0,3
661278803,,,,0,3,11,1100.0,156.0,1100.0,,,,,,0,,0,3
605679896,,,,0,3,11,4000.0,156.0,800.0,,,,,,0,,0,3
579589393,,,,0,8,11,100.0,156.0,0.0,,,,0.0,,0,,0,3
12797847,,,,0,17,11,0.0,156.0,0.0,,,,,,0,,0,3
636191915,,,,0,3,11,20.0,156.0,20.0,,,,,,0,,0,3
371360255,,,,0,5,11,20.0,156.0,20.0,,,,,,0,,0,3
113560248,,,,0,5,9,800.0,156.0,0.0,,,,,,0,,0,3
288764239,,,,0,5,11,10.0,156.0,10.0,,,,0.0,,0,,0,3
334658801,,,,0,3,11,50.0,156.0,0.0,,,,,,0,,0,3
967660196,,,,0,3,11,1000.0,156.0,0.0,,,,0.0,,0,,0,3
380623635,,,,0,3,11,1000.0,156.0,0.0,,,,,,0,,0,3
889468478,,,,0,3,11,10.0,156.0,10.0,,,,,,0,1.0,0,3
398431409,,,,0,3,5,3.0,156.0,3.0,,,,,,0,1.0,0,3
625243944,,,,0,3,11,1000.0,156.0,1000.0,,,,0.0,,0,,0,3
980472682,,,,0,17,9,0.0,,0.0,,,,0.0,,0,,0,3
1203938154,,,,0,3,9,200.0,156.0,200.0,,,,,,0,2.0,0,3
691834047,,,,0,3,11,50.0,156.0,50.0,,,,,,0,,0,3
1179998601,,,,0,3,11,10000.0,156.0,490.0,,,,,,0,,0,3
1222676313,,,,0,3,11,5.0,156.0,5.0,,,,,,0,1.0,0,3
576223938,,,,0,5,11,50.0,156.0,50.0,,,,0.0,,0,,0,3
580309977,,,,0,5,11,50.0,156.0,50.0,,,,,,0,1.0,0,3
1021133736,,,,0,3,11,100.0,156.0,100.0,,,,,,0,1.0,0,3
566709980,,,,0,3,11,50.0,156.0,50.0,,,,,,0,,0,3
1087388731,,,,0,3,11,100.0,156.0,100.0,,,,,,0,,0,3
300801599,,,,0,3,11,3.0,156.0,3.0,,,,,,0,,0,3
305088290,,,,0,3,11,10.0,156.0,10.0,,,,,,0,1.0,0,3
1163686299,,,,0,5,11,10.0,156.0,10.0,,,,,,0,1.0,0,3
1063012839,,,,0,3,11,30.0,156.0,30.0,,,,,,0,,0,3
98881159,,,,0,3,9,100.0,156.0,0.0,,,,,,0,,0,3
632218956,,,,0,5,11,5.0,156.0,0.0,,,,,,0,1.0,0,3
471073634,,,,0,3,11,10.0,156.0,0.0,,,,0.0,,0,1.0,0,3
204164781,,,,0,3,11,100.0,156.0,100.0,,,,,,0,1.0,0,3
361556788,,,,0,3,11,10.0,156.0,10.0,,,,,,0,1.0,0,3
225802790,,,,0,3,11,100.0,156.0,100.0,,,,,,0,1.0,0,3
974430232,,,,0,3,11,50.0,156.0,50.0,,,,,,0,1.0,0,3
1222959861,,,,0,3,11,100.0,156.0,0.0,,,,,,0,,0,3
925143437,,,,0,3,9,500.0,156.0,0.0,,,,,,0,,0,3
188029906,,,,0,1,11,5000.0,156.0,5000.0,,,,0.0,,0,,0,3
353843619,,,,0,3,11,490.0,156.0,490.0,,,,,,0,1.0,0,3
519239830,,,,0,17,11,0.0,156.0,0.0,,,,,,0,1.0,0,3
1153663696,,,,0,22,5,0.0,156.0,0.0,,,,0.0,,0,1.0,0,3
85055244,,,,0,3,11,88.0,156.0,88.0,,,,,,0,1.0,0,3
140294893,,,,0,27,9,0.0,156.0,0.0,,,,,,0,1.0,0,3
838865206,,,,0,3,11,1000.0,156.0,0.0,,,,,,0,,0,3
1063798897,,,,0,5,11,500.0,156.0,0.0,,,,0.0,,0,,0,3
1187619116,,,,0,5,11,50.0,156.0,50.0,,,,,,0,,0,3
58165557,,,,0,3,11,1000.0,156.0,200.0,,,,,,0,,0,3
1211146226,,,,0,3,11,500.0,156.0,0.0,,,,,,0,,0,3
766781991,,,,0,3,11,40.0,156.0,40.0,,,,0.0,,1,,0,3
1011668876,,,,0,5,11,50.0,156.0,50.0,,,,,,0,,0,3
176707190,,,,0,17,9,0.0,,0.0,,,,,,0,,0,3
8821659,,,,0,3,11,50.0,156.0,50.0,,,,,,0,,0,3
1005484133,,,,0,3,11,500.0,156.0,0.0,,,,0.0,,0,,0,3
731471307,,,,0,3,11,50.0,156.0,0.0,,,,,,0,,0,3
486942015,,,,0,3,11,500.0,156.0,0.0,,,,0.0,,0,,0,3
865589621,,,,0,5,11,10.0,156.0,10.0,,,,,,0,,0,3
6661687,,,,0,3,11,5.0,156.0,0.0,,,,0.0,,0,,0,3
514427770,,,,0,5,11,490.0,156.0,490.0,,,,,,0,,0,3
687207095,,,,0,5,11,10.0,156.0,0.0,,,,0.0,,0,,0,3
138410002,,,,0,19,11,0.0,156.0,0.0,,,,,,0,,0,3
1163008218,,,,0,3,11,3.0,156.0,3.0,,,,,,0,,0,3
802576866,,,,0,3,11,1000.0,156.0,200.0,,,,,,0,,0,3
887502847,,,,0,3,11,1000.0,156.0,0.0,,,,,,0,,0,3
133746071,,,,0,3,11,10.0,156.0,10.0,,,,,,0,,0,3
1152039403,,,,0,3,11,10000.0,156.0,0.0,,,,,,0,,0,3
77539620,,,,0,3,11,5000.0,156.0,5000.0,,,,,,0,,0,3
943655309,,,,0,5,11,100.0,156.0,100.0,,,,,,0,,0,0
1179650368,,,,0,3,11,5000.0,156.0,0.0,,,,0.0,,0,,0,3
825085781,,,,0,3,11,1000.0,156.0,1000.0,,,,,,0,,0,3
1005387686,,,,0,5,11,10.0,156.0,0.0,,,,0.0,,0,,0,3
716838666,,,,0,3,11,100.0,156.0,0.0,,,,,,0,,0,3
1191254660,,,,0,5,11,50.0,156.0,50.0,,,,,,0,,0,3
497196864,,,,0,5,11,380.0,156.0,0.0,,,,0.0,,0,,0,3
690111956,,,,0,5,11,5.0,156.0,0.0,,,,,,0,,0,3
532386625,,,,0,5,11,20.0,156.0,20.0,,,,,,0,,0,3
460609992,,,,0,17,11,0.0,,0.0,,,,,,0,,0,3
470602015,,,,0,5,11,100.0,156.0,0.0,,,,,,0,,0,3
860188978,,,,0,3,11,490.0,156.0,490.0,,,,,,0,,0,3
1058552500,,,,0,3,11,300.0,156.0,300.0,,,,0.0,,0,,0,3
1094485325,,,,0,3,11,500.0,156.0,0.0,,,,,,0,,0,3
923931235,,,,0,19,11,0.0,,0.0,,,,,,0,,0,3
325362643,,,,0,44,11,800.0,156.0,0.0,,,,,,0,,0,0
635706789,,,,0,5,9,100.0,156.0,0.0,,,,0.0,,0,,0,3
6752179,,,,1,27,9,0.0,,0.0,,,,,,0,1.0,0,3
38313730,,,,0,3,11,1000.0,156.0,0.0,,,,,,0,,0,3
1064971831,,,,0,3,11,200.0,156.0,200.0,,,,,,0,,0,3
