entid,ALTDATE,ALTTIME
1032764109,2018-10-11,
283120087,2016-06-10,
283120087,2011-10-11,1.0
283120087,2014-08-21,
283120087,2016-09-30,6.0
283120087,2016-12-30,
283120087,2016-04-10,7.0
283120087,2014-11-21,
283120087,2014-06-21,
283120087,2011-06-26,
283120087,2011-11-26,
283120087,2011-04-11,
283120087,2014-07-21,
283120087,2016-06-10,
283120087,2011-02-08,
283120087,2011-04-08,
283120087,2016-03-30,
283120087,2012-04-21,
283120087,2014-03-21,
283120087,2016-06-30,
283120087,2016-01-30,
283120087,2016-05-30,
283120087,2011-08-08,
283120087,2014-12-21,
283120087,2018-07-21,0.0
283120087,2018-03-21,0.0
283120087,2018-07-21,0.0
283120087,2018-07-21,0.0
1133220134,2017-01-02,
1133220134,2016-07-30,
1133220134,2016-02-08,2.0
1133220134,2016-04-30,
1133220134,2016-11-30,
1133220134,2016-03-08,
1133220134,2019-02-10,
1133220134,2019-09-10,
1133220134,2019-02-10,
1133220134,2019-09-10,
1133220134,2019-11-10,
873360537,2016-01-24,1.0
873360537,2016-05-24,1.0
873360537,2016-05-24,1.0
873360537,2016-07-24,1.0
873360537,2016-10-24,
873360537,2016-12-24,
873360537,2016-01-24,
873360537,2016-05-24,
873360537,2016-01-24,
873360537,2019-04-04,
873360537,2019-03-04,
873360537,2019-06-04,
873360537,2019-01-04,
873360537,2019-07-04,
133252686,2016-04-30,
133252686,2016-06-30,1.0
133252686,2016-06-30,
133252686,2016-05-31,
133252686,2016-05-31,1.0
133252686,2016-07-31,
334660907,2016-05-18,
334660907,2017-02-13,
334660907,2016-02-18,
102673201,2016-12-08,
102673201,2016-08-08,
102673201,2016-04-08,
102673201,2016-01-08,1.0
102673201,2016-08-08,
102673201,2018-10-17,
693676134,2015-05-28,
693676134,2016-04-14,
693676134,2016-02-14,2.0
693676134,2019-05-04,
693676134,2019-09-04,
693676134,2018-11-15,
693676134,2020-04-21,
516212728,2016-01-06,
516212728,2014-02-27,
516212728,2016-05-06,
516212728,2014-01-27,
516212728,2016-03-02,
516212728,2016-11-06,
516212728,2016-12-06,
516212728,2010-09-03,
516212728,2014-02-27,
516212728,2014-07-27,
516212728,2014-10-27,
516212728,2020-12-22,
516212728,2020-11-22,
252045506,2016-12-26,4.0
252045506,2016-03-26,4.0
252045506,2016-09-26,
252045506,2013-04-13,1.0
252045506,2013-10-13,1.0
252045506,2014-07-07,3.0
252045506,2013-10-13,
252045506,2013-06-04,
252045506,2013-01-13,
1007251516,2015-08-20,
1007251516,2016-10-29,
1007251516,2014-02-17,
1007251516,2016-08-29,4.0
1007251516,2016-04-29,
1007251516,2016-10-24,
1007251516,2011-09-23,1.0
1007251516,2016-01-24,5.0
1007251516,2015-06-20,
1007251516,2017-04-04,
1007251516,2016-06-29,
1007251516,2015-03-20,
1007251516,2015-06-20,
1007251516,2016-05-29,
1007251516,2016-12-24,
1007251516,2016-11-24,5.0
1007251516,2016-02-24,
1007251516,2016-08-24,
1007251516,2015-06-20,
1007251516,2015-07-20,
1007251516,2016-03-24,
1007251516,2016-02-29,
1007251516,2014-10-17,
1007251516,2014-09-17,
1007251516,2014-03-17,
1007251516,2015-04-20,
1007251516,2020-03-21,
1007251516,2020-12-21,
1007251516,2020-08-21,
1007251516,2020-05-21,
1007251516,2020-12-21,
1007251516,2020-05-21,
341104627,2017-02-27,
341104627,2017-08-27,
341104627,2017-08-27,
341104627,2017-11-27,
341104627,2017-03-27,
220448783,2014-08-22,
220448783,2016-04-27,
220448783,2014-08-22,
220448783,2014-03-22,
220448783,2014-09-22,
516820430,2011-06-21,2.0
516820430,2012-07-29,6.0
516820430,2013-04-19,
516820430,2013-03-09,8.0
516820430,2011-06-21,2.0
516820430,2012-08-19,
516820430,2010-10-30,
516820430,2012-07-19,4.0
516820430,2011-02-21,
516820430,2011-04-21,
516820430,2011-07-26,
516820430,2013-04-09,
516820430,2012-03-27,
516820430,2013-08-19,
516820430,2013-11-09,
516820430,2013-11-19,
516820430,2010-07-30,
211101804,2013-01-14,1.0
211101804,2013-05-14,1.0
211101804,2014-04-27,2.0
547440553,2017-06-13,
547440553,2017-03-13,
547440553,2017-12-13,
547440553,2014-08-25,
547440553,2016-06-09,
740244329,2014-02-27,
740244329,2014-07-27,
691454697,2016-06-22,1.0
691454697,2016-06-22,
691454697,2016-05-22,
691454697,2016-01-22,
691454697,2018-10-13,
691454697,2018-06-13,
691454697,2018-05-23,
691454697,2018-01-14,
691454697,2018-03-23,
1112373491,2011-05-31,
1112373491,2016-03-28,
1112373491,2006-08-04,
1112373491,2006-03-11,
1112373491,2006-08-04,
1112373491,2006-02-04,
1112373491,2015-05-29,
1112373491,2015-08-29,
1112373491,2011-09-30,
1112373491,2009-08-17,
1112373491,2006-09-04,
1112373491,2006-04-04,
1112373491,2007-05-23,
1112373491,2011-06-30,
1112373491,2006-12-04,
1112373491,2006-07-04,
1112373491,2006-04-04,
1112373491,2006-11-04,
1112373491,2006-09-04,
1112373491,2011-08-31,
1112373491,2006-11-04,
1112373491,2006-12-04,
1112373491,2011-02-28,
1112373491,2019-07-23,
1112373491,2006-09-04,
1112373491,2019-05-23,
1112373491,2006-10-04,
1112373491,2019-01-23,
971092189,2014-03-15,
971092189,2016-04-11,
971092189,2014-05-15,
971092189,2011-12-17,
971092189,2016-02-11,
971092189,2016-07-11,
971092189,2016-05-11,
971092189,2014-12-15,
971092189,2009-05-23,
971092189,2006-07-07,
971092189,2011-07-17,
971092189,2006-07-18,
971092189,2009-03-23,
971092189,2016-06-11,
971092189,2009-09-23,
971092189,2014-11-15,
971092189,2011-03-17,
971092189,2014-05-15,
971092189,2014-09-15,
971092189,2006-05-07,
232565764,2008-11-11,
232565764,2006-08-13,
232565764,2016-08-15,
232565764,2006-04-13,
232565764,2019-03-11,
232565764,2019-02-11,
232565764,2019-09-11,
232565764,2008-09-11,
1174402087,2018-04-15,
1174402087,2018-10-15,
25283915,2010-09-25,1.0
25283915,2010-04-25,1.0
25283915,2014-07-19,2.0
25283915,2014-01-19,
25283915,2017-12-29,
25283915,2017-08-29,
25283915,2014-07-19,
25283915,2017-08-29,
36393553,2016-01-08,
64662931,2019-06-24,
64662931,2019-07-30,
64662931,2019-03-30,
64662931,2019-04-24,
423078773,2014-05-19,
423078773,2010-06-25,1.0
423078773,2014-05-19,2.0
423078773,2010-05-25,1.0
423078773,2017-08-29,
423078773,2017-10-29,
166396479,2015-06-12,
549310412,2017-10-12,
549310412,2008-10-27,
549310412,2017-05-12,
549310412,2015-02-08,
549310412,2017-07-12,
549310412,2017-02-12,
549310412,2007-06-11,1.0
549310412,2015-08-08,
549310412,2008-01-27,
549310412,2015-07-08,
549310412,2017-04-12,
549310412,2010-05-25,3.0
549310412,2015-08-08,
549310412,2012-02-26,
549310412,2010-02-25,3.0
549310412,2012-06-19,5.0
549310412,2018-04-03,0.0
549310412,2018-10-03,
549310412,2008-06-27,
549310412,2008-06-27,
549310412,2018-10-03,0.0
790901023,2014-01-26,
790901023,2012-12-17,2.0
790901023,2011-12-27,1.0
790901023,2014-10-26,4.0
790901023,2014-06-26,
790901023,2014-03-26,
790901023,2012-06-25,
819159156,2015-03-19,1.0
1095411854,2017-09-29,
1095411854,2017-12-29,
1095411854,2017-04-29,
1095411854,2017-05-29,
1095411854,2017-09-29,
1095411854,2017-07-29,
774143406,2014-03-25,
774143406,2014-02-25,
643995819,2012-05-24,
643995819,2006-05-13,
643995819,2012-02-24,
643995819,2017-02-12,
643995819,2010-11-20,3.0
643995819,2012-10-24,
643995819,2017-04-12,
643995819,2017-12-12,
643995819,2012-11-24,
643995819,2017-12-12,
643995819,2006-03-03,1.0
643995819,2012-09-24,
643995819,2019-05-02,
643995819,2012-04-24,
643995819,2006-10-13,
643995819,2019-11-02,
221711104,2011-04-08,1.0
221711104,2013-11-14,1.0
221711104,2011-06-28,1.0
221711104,2011-10-08,1.0
221711104,2013-07-14,1.0
221711104,2011-09-28,1.0
221711104,2011-10-28,
221711104,2010-05-15,
221711104,2010-09-15,
221711104,2010-07-15,
858710610,2016-09-24,
858710610,2016-11-24,
858710610,2016-11-24,
24295028,2012-08-05,
24295028,2012-06-05,
24295028,2012-10-05,
24295028,2012-12-05,
24295028,2012-03-05,
276103663,2014-02-28,
276103663,2014-06-28,
276103663,2011-09-13,
276103663,2011-03-13,
276103663,2014-04-28,
100724777,2012-11-08,
100724777,2010-09-30,
100724777,2015-12-28,
100724777,2016-10-24,
100724777,2006-07-23,
100724777,2008-05-09,
100724777,2007-06-26,
100724777,2010-12-31,
100724777,2010-11-24,
100724777,2012-05-08,
100724777,2010-07-31,
100724777,2012-01-08,
100724777,2004-05-08,
100724777,2008-02-09,
100724777,2010-10-24,
100724777,2010-12-31,
100724777,2006-05-23,
100724777,2015-02-28,
100724777,2015-04-28,
100724777,2015-03-28,
100724777,2006-01-23,
100724777,2006-07-23,
100724777,2016-05-24,
100724777,2016-04-24,
100724777,2015-03-28,
100724777,2011-03-20,
100724777,2006-05-23,
100724777,2015-11-28,
1113909111,2017-10-22,
185127097,2015-04-07,
185127097,2015-09-22,
185127097,2015-05-07,
185127097,2015-05-22,
185127097,2015-05-22,
185127097,2015-11-27,
185127097,2015-06-22,
185127097,2015-08-27,
185127097,2015-10-07,
185127097,2015-01-27,
185127097,2015-05-07,
185127097,2015-02-27,
916447957,2008-06-13,
916447957,2008-02-11,
916447957,2006-01-20,
916447957,2005-04-09,
916447957,2013-04-04,
916447957,2006-12-24,
916447957,2006-04-24,
916447957,2005-08-09,
916447957,2011-12-25,
916447957,2011-07-25,
916447957,2006-02-20,
916447957,2005-05-09,
916447957,2011-06-25,
916447957,2011-08-06,
916447957,2015-01-15,
916447957,2006-07-24,
916447957,2006-05-24,
916447957,2008-10-11,
916447957,2013-05-04,
916447957,2005-03-09,
916447957,2015-12-15,
916447957,2008-08-13,
916447957,2011-12-06,
916447957,2008-04-13,
916447957,2006-02-24,
916447957,2008-09-11,
916447957,2015-06-15,
916447957,2008-04-11,
916447957,2013-07-04,
916447957,2018-08-19,
916447957,2018-02-19,0.0
916447957,2011-06-25,0.0
1027568465,2014-05-18,
1027568465,2015-06-26,
1027568465,2016-09-28,
1027568465,2015-01-26,
1027568465,2016-03-28,
1027568465,2016-03-28,
1027568465,2014-02-18,
1027568465,2014-10-18,
1027568465,2015-07-26,
1027568465,2016-08-28,
1027568465,2018-06-10,0.0
1027568465,2018-11-27,
748718009,2014-12-16,
748718009,2014-08-16,
748718009,2014-07-16,
748718009,2015-07-23,
748718009,2015-03-23,
982196289,2016-11-21,
982196289,2017-08-16,
982196289,2016-06-21,
982196289,2016-03-21,
982196289,2016-02-21,
982196289,2016-05-21,
982196289,2017-11-16,
982196289,2016-12-21,
982196289,2016-10-21,
982196289,2016-09-21,
982196289,2017-11-16,
982196289,2016-03-21,
982196289,2017-03-16,
982196289,2016-01-21,
210167448,2016-03-17,
210167448,2016-12-23,
210167448,2016-05-23,
210167448,2016-07-23,
210167448,2016-05-23,
210167448,2016-03-23,
210167448,2016-10-17,
210167448,2016-01-21,
210167448,2016-05-21,
210167448,2016-05-17,
210167448,2018-08-02,
210167448,2020-04-27,
210167448,2018-11-02,
210167448,2020-12-27,
955997658,2014-12-24,
955997658,2014-05-24,
332305361,2016-09-24,
332305361,2016-12-24,
332305361,2016-07-24,
332305361,2016-03-24,
1001226199,2015-03-03,
1001226199,2015-12-03,
1001226199,2015-04-03,
1001226199,2015-10-03,
1001226199,2015-01-03,
1001226199,2016-06-28,
1001226199,2015-09-03,
1001226199,2015-02-03,
1001226199,2015-02-03,
1001226199,2015-09-03,
1001226199,2015-09-03,
1190925362,2017-09-24,
1190925362,2017-12-24,
1190925362,2017-05-24,
581046359,2017-07-24,
581046359,2017-10-24,
581046359,2017-03-24,
1034982777,2011-07-29,
1034982777,2013-12-14,
1034982777,2013-10-08,
1034982777,2013-08-21,
1034982777,2014-08-20,
1034982777,2013-06-21,
1034982777,2013-10-21,
1034982777,2013-05-21,
1034982777,2013-09-08,
1034982777,2013-03-08,
1034982777,2013-10-08,
1034982777,2014-08-20,
1034982777,2013-05-14,
1034982777,2013-06-08,
1034982777,2013-02-21,
1034982777,2013-12-14,
1034982777,2013-03-14,
909295164,2017-02-22,
909295164,2012-07-24,
909295164,2007-06-10,
909295164,2012-03-24,
909295164,2007-03-10,
909295164,2010-07-21,
909295164,2007-05-23,
909295164,2011-08-06,
909295164,2007-04-23,
909295164,2007-07-10,
909295164,2007-05-23,
909295164,2015-08-13,
909295164,2011-11-06,
909295164,2017-11-22,
909295164,2007-02-23,
909295164,2007-10-10,
909295164,2007-03-23,
909295164,2017-11-11,
909295164,2017-10-11,
909295164,2017-02-11,
909295164,2017-08-11,
909295164,2012-07-24,
909295164,2012-09-24,
909295164,2007-09-10,
909295164,2018-06-06,
909295164,2018-05-06,
909295164,2018-05-06,
909295164,2018-10-06,
909295164,2018-03-04,
909295164,2018-08-04,
909295164,2018-03-04,
909295164,2019-03-15,
909295164,2019-07-15,
909295164,2017-04-22,
896254795,2014-04-11,
896254795,2013-09-20,
896254795,2013-07-20,
896254795,2013-10-20,
1103426680,2014-07-17,
1079431533,2009-01-07,
1079431533,2017-07-18,
1079431533,2017-11-18,
1079431533,2011-08-28,
1079431533,2017-02-15,
1079431533,2011-12-28,
1079431533,2017-06-18,
1079431533,2017-10-15,
1079431533,2017-02-18,
1079431533,2017-08-18,
387113835,2005-09-03,
387113835,2005-07-03,
387113835,2014-09-23,
387113835,2008-03-18,
387113835,2011-08-13,
