entid,ANCHEYEAR,INV,TRANSAMPR,TRANSAMAFT,ALTDATE
644394656,2016,356,31.35278502,0.805439728,2016/7/6
644394656,2016,349,52.2309355,100.1247209,2016/2/6
644394656,2016,318,20.08296797,-1.032018927,2016/8/6
87341364,2018,340,72.47420297,92.08602594,2019/5/15
87341364,2018,340,93.28414962,95.5438685,2018/2/14
87341364,2018,341,7.948729951,4.740028697,2018/1/14
87341364,2018,28,25.07190772,0.886256894,2018/10/15
618578351,2015,59,79.50668857,20.26512309,2015/7/30
618578351,2015,285,2.813489092,60.05598003,2015/2/28
618578351,2015,269,19.85475309,10.18269751,2015/7/12
618578351,2015,73,1.1599237,12.8705237,2015/10/12
349263176,2017,78,100.7721844,100.2959598,2017/3/28
349263176,2017,231,-1.627501516,1.259380299,2017/5/28
60501171,2014,97,59.80909974,21.03162853,2011/9/16
60501171,2014,312,30.12384439,7.783773669,2012/5/9
60501171,2014,365,10.40462171,9.577732319,2013/12/22
60501171,2014,4,-0.973678901,59.73278346,2013/11/22
536153085,2017,194,26.02261115,-0.324974999,2017/1/17
536153085,2017,234,25.1798799,1.451347675,2017/11/17
536153085,2017,130,24.88583994,0.967548179,2018/9/17
536153085,2017,252,25.1133466,0.968920052,2017/4/17
536153085,2017,65,1.443846355,99.79521272,2017/2/17
867143776,2017,353,34.10610358,-0.40155007,2017/6/9
867143776,2017,348,0.305557967,28.87735446,2017/2/9
867143776,2017,159,32.79574263,39.740637,2017/10/9
867143776,2017,343,31.90795724,-0.136857981,2017/4/9
867143776,2017,300,0.478383417,29.08433817,2017/4/9
538462809,2015,362,26.93643513,36.57788262,2015/12/3
538462809,2015,309,-0.081525393,52.9147906,2015/12/3
322394797,2015,57,-1.401076801,57.39594297,2015/5/6
322394797,2015,321,45.22381057,33.07740011,2015/4/6
322394797,2015,183,44.72438295,-0.989076539,2015/2/6
500120338,2015,271,51.23289898,51.21716173,2015/11/3
1115273959,2014,236,60.09323549,1.341423602,2014/10/5
1115273959,2014,336,-0.176846587,44.02085529,2014/2/5
1115273959,2014,2,0.199405983,14.9193869,2014/10/5
224662236,2014,326,99.50737683,40.13306423,2014/1/3
353592717,2017,276,99.4927076,91.60903827,2017/10/23
353592717,2017,83,0.508672454,7.549599671,2017/1/23
856331759,2016,108,-0.366016235,16.6208141,2016/12/12
856331759,2016,138,-0.847600333,15.02751385,2016/7/12
856331759,2016,155,-1.566631844,17.89991061,2016/9/12
856331759,2016,265,2.000838688,16.20186762,2016/11/12
856331759,2016,32,-1.15744652,15.39636178,2016/10/12
526477932,2014,54,40.31325677,43.4300704,2014/2/16
526477932,2014,53,9.912026513,17.21371214,2014/5/16
87133628,2016,163,20.51786011,-0.596352709,2016/4/27
87133628,2016,119,48.86017588,-1.478376037,2016/5/27
87133628,2016,291,30.37296773,1.11418464,2016/8/27
87133628,2016,264,0.220884854,21.08137679,2016/2/27
87133628,2016,284,-0.556376155,79.25141733,2016/4/27
1144820702,2017,273,1.349618725,0.470356718,2017/5/3
1144820702,2017,279,1.473792932,0.115921379,2017/8/3
1144820702,2017,218,2.19874983,1.846759349,2017/10/3
1144820702,2017,274,2.543025195,-0.053573326,2017/6/3
1144820702,2017,221,3.707171564,0.511671999,2017/11/3
1144820702,2015,304,35.42065883,13.17519631,2015/10/20
1144820702,2015,220,-0.373093795,1.395313417,2015/3/20
1144820702,2015,282,-0.157466752,1.082172537,2015/10/20
1144820702,2015,218,-0.941909045,-0.345276261,2015/4/20
1144820702,2015,107,18.35345369,6.184319577,2015/7/20
1144820702,2017,277,2.900354122,-2.173200415,2017/11/3
1144820702,2017,219,1.020536834,-1.282624612,2017/9/3
1144820702,2017,288,-0.769199782,12.90391478,2017/9/3
1144820702,2015,219,-1.614796727,1.074382522,2015/7/20
1144820702,2015,281,3.849536601,1.933302448,2016/6/20
1144820702,2015,275,1.356925313,2.340901517,2015/11/20
1144820702,2015,283,1.075841873,-0.719737675,2015/12/20
1144820702,2015,274,-0.774988661,2.120998865,2015/4/20
1144820702,2015,278,2.771325132,0.984685619,2015/1/20
1144820702,2015,280,28.06516865,60.25855493,2015/2/20
1144820702,2015,221,4.493324343,3.166712153,2015/3/20
1144820702,2015,273,0.849043614,2.510699999,2015/10/20
1144820702,2015,277,0.720967872,2.88865079,2015/4/20
1144820702,2015,279,-0.932483223,0.404291874,2015/3/20
620500307,2015,364,-0.63652701,16.4363742,2016/2/20
620500307,2016,364,0.689893989,64.59146977,2016/3/13
620500307,2016,191,26.34916949,-0.682114712,2016/11/13
620500307,2016,337,40.70721024,1.06454065,2016/4/13
186853378,2013,170,0.76550146,1.448323088,2013/10/21
426380994,2017,315,29.28772599,-0.335218617,2017/8/14
426380994,2017,251,27.95994321,-0.602216177,2017/12/14
773620016,2018,190,0.146730992,100.7799325,2018/1/27
51981125,2017,259,31.25356463,97.37418104,2017/3/16
989027136,2017,29,100.671575,50.49319334,2013/9/12
478886296,2018,186,-2.416982721,0.12361645,2013/10/10
675065234,2014,261,10.88446888,9.206658997,2014/2/17
675065234,2014,122,9.150194042,9.501724959,2014/8/17
465287457,2016,18,60.15546148,-0.15647101,2016/3/8
465287457,2016,3,-1.442343172,59.10458096,2016/11/8
876789488,2017,165,-0.356488055,49.70886577,2017/5/20
876789488,2017,23,100.018541,-0.415510054,2017/6/20
876789488,2017,149,-0.847717067,49.63627749,2017/1/20
1121800093,2017,198,96.02052837,99.20396242,2017/11/25
288524275,2017,241,1.313733409,78.26413521,2017/5/3
288524275,2017,133,78.59626706,-0.307472821,2017/6/3
288524275,2017,161,11.46751162,22.98883018,2017/4/3
288524275,2017,296,8.387788076,-0.516496912,2017/7/3
899568771,2018,303,-0.613207428,69.19285825,2018/3/28
899568771,2018,132,0.286811226,30.12757457,2018/6/28
471239918,2016,82,0.096886081,48.86582603,2016/12/18
471239918,2016,297,51.11977467,1.614985408,2016/7/15
471239918,2015,145,0.517854178,50.39860405,2015/3/15
471239918,2015,47,101.8557939,0.966651971,2015/11/15
471239918,2015,297,1.53756112,50.35505068,2015/8/15
850637667,2017,66,96.31360678,29.67827215,2017/5/11
850637667,2017,244,0.077905415,48.50478036,2017/3/11
850637667,2017,72,-0.510185157,18.84206847,2017/8/11
850637667,2017,113,1.457105984,-0.576347793,2017/4/11
850637667,2016,239,4.532520964,1.295277744,2016/2/5
850637667,2016,66,57.13977554,96.74521312,2016/8/5
850637667,2016,262,7.29863169,-2.526624856,2016/7/5
850637667,2016,69,10.40548492,0.268264025,2016/9/5
850637667,2016,332,9.887581465,-1.601603945,2016/8/5
850637667,2016,263,12.64708257,-0.130845325,2016/10/5
850637667,2016,113,3.012180617,4.08159323,2016/12/5
850637667,2016,147,2.373052944,1.423755645,2016/8/5
292800787,2016,175,1.452168258,79.45527132,2016/2/11
292800787,2016,162,92.64362502,18.72696124,2016/9/10
451175570,2017,46,39.83069666,0.465398402,2017/6/22
451175570,2017,212,0.477195233,40.03379123,2017/10/22
451175570,2017,202,25.21633925,0.178073881,2017/3/22
451175570,2017,213,-0.283822916,61.58979483,2017/5/22
451175570,2017,215,32.45896825,1.447778319,2017/2/22
451175570,2018,213,60.4814169,101.4077957,2018/4/3
451175570,2018,212,38.83718536,0.023773697,2018/8/3
499232727,2017,247,55.03279139,18.55333687,2017/7/5
499232727,2017,369,-0.237653953,79.22949184,2017/7/5
499232727,2017,320,42.91345103,-1.267412432,2017/7/5
346671211,2017,167,6.806677669,-0.86161143,2017/12/14
346671211,2017,177,14.40475493,-0.346966522,2017/7/14
346671211,2017,151,2.437713625,0.234765201,2017/4/14
346671211,2017,207,27.0323181,50.67517218,2017/5/28
346671211,2017,207,0.064482042,26.71680498,2017/1/14
346671211,2017,58,22.92639095,-0.017360832,2017/9/28
835696872,2015,114,-0.289296986,48.03921591,2016/4/15
774523048,2015,90,59.64602559,52.13144522,2015/10/23
774523048,2015,94,-1.214237675,5.908623465,2015/11/23
774523048,2015,93,9.108706486,5.103084865,2015/1/23
774523048,2015,181,29.29887748,38.87305355,2015/10/23
311372702,2017,324,-1.170161354,51.37232037,2017/11/14
311372702,2017,123,96.49410149,48.33312058,2017/4/14
311372702,2017,367,6.731094802,1.121032945,2017/8/14
311372702,2017,123,51.33385523,41.71922493,2017/12/14
311372702,2017,184,0.442789286,27.00260426,2017/1/14
311372702,2017,324,51.55877823,28.98370149,2017/7/14
311372702,2018,324,1.599998569,-0.696389486,2018/11/4
311372702,2018,123,0.460853794,-0.378860626,2018/3/4
311372702,2018,331,-0.593950253,0.226836667,2018/10/4
714619319,2018,204,52.5225946,62.87017972,2018/1/19
714619319,2018,200,28.93343371,35.44569361,2018/11/19
714619319,2018,201,19.00927409,-0.627561883,2018/4/19
268673627,2013,91,33.35878759,0.550353941,2014/9/22
268673627,2017,91,1.639632218,50.87853867,2017/4/19
268673627,2017,169,31.90994447,-0.957005791,2017/9/19
268673627,2017,314,32.73129784,50.00011866,2017/7/19
268673627,2017,323,0.688086996,-1.586962165,2017/11/19
268673627,2017,250,32.46105478,-0.527520324,2017/6/19
268673627,2015,323,31.39014968,0.949588304,2015/2/1
1171029049,2018,137,0.773506666,6.15076934,2018/1/11
1171029049,2018,232,21.61522926,-1.445803798,2018/6/11
1171029049,2018,16,-0.768947601,5.938437897,2018/2/11
1171029049,2018,140,81.49692596,86.45251534,2018/11/11
1171029049,2018,118,-0.667682913,3.908235308,2018/12/11
1134988699,2013,189,-1.007549172,101.4648543,2013/5/4
1134988699,2013,293,100.5464042,1.674684689,2013/7/4
189837841,2018,299,71.14928012,91.09777736,2018/7/11
189837841,2018,203,30.52598287,7.332968423,2018/6/9
1136409037,2016,310,50.34265713,10.7814747,2016/10/7
1136409037,2016,245,-1.468066231,50.15749572,2016/7/7
1136409037,2016,144,49.59242257,11.47172537,2016/7/7
1136409037,2016,141,-2.184648789,26.47369618,2016/1/7
401234206,2016,9,99.74659369,96.87175168,2017/6/21
401234206,2016,242,-1.827380434,5.964899385,2017/6/21
401234206,2016,339,99.8696517,0.392185733,2016/12/17
401234206,2016,9,-1.48637924,100.3742959,2016/8/17
176600452,2017,210,-0.596384895,10.1898267,2017/12/26
176600452,2017,209,9.623354789,-0.026882675,2017/8/26
176600452,2018,211,89.52318271,79.95452529,2018/2/18
176600452,2018,307,-0.069134093,10.81738862,2018/3/18
272392537,2016,14,38.50842025,-1.351673773,2016/1/11
272392537,2016,325,-0.776637971,51.10271427,2016/9/11
272392537,2016,306,29.88632595,-1.273587701,2016/1/11
272392537,2016,254,-0.658074722,51.78418767,2016/3/11
272392537,2016,270,30.40884987,2.220081994,2016/10/11
222738122,2018,289,10.13049933,-0.916830458,2006/1/18
222738122,2018,156,45.57094142,54.44673877,2006/4/18
105797169,2016,81,60.76788997,50.039647,2016/7/27
105797169,2016,333,41.37729359,-0.684000632,2016/12/27
105797169,2016,164,0.664764978,51.07047514,2016/6/27
617917621,2017,26,10.59397529,5.631025066,2017/2/9
617917621,2017,89,10.80771615,4.570212758,2017/10/9
617917621,2018,89,10.12568891,3.973624126,2017/11/9
617917621,2018,25,9.732988606,4.301005698,2017/12/9
1203097851,2016,313,0.333306134,81.48746438,2016/1/23
91190477,2018,266,20.71883153,-0.238339971,2018/8/1
91190477,2018,351,-1.040978517,20.83921393,2018/5/1
615463212,2016,106,9.654567651,-0.389037981,2016/10/16
615463212,2016,230,10.87329895,60.4818506,2016/11/16
615463212,2016,227,40.09184276,0.28322475,2016/6/16
96684219,2013,335,1.662708073,3.136335002,2013/4/22
96684219,2013,154,-1.12329213,3.368035893,2013/9/22
96684219,2013,77,28.16385187,49.07779261,2013/2/22
96684219,2013,214,44.70164071,1.204101959,2013/8/22
498015441,2018,243,0.2296476,87.67521607,2018/2/13
498015441,2018,237,87.71468955,-1.311654141,2018/5/13
382534246,2017,257,-1.048266448,18.6010298,2017/7/11
382534246,2018,7,2.230132794,48.83156884,2018/10/12
382534246,2017,327,-0.409937492,18.77528172,2017/12/11
382534246,2018,206,1.718182275,29.81067224,2018/7/12
382534246,2017,330,40.18644448,0.495924937,2017/1/12
382534246,2018,327,30.40416262,-0.573755827,2018/8/12
382534246,2017,257,20.80063631,29.632373,2017/7/16
382534246,2018,205,0.141680735,18.90585466,2018/11/12
382534246,2017,258,4.900109257,-1.345430521,2017/10/11
382534246,2018,257,30.43375945,1.100637761,2018/4/2
382534246,2018,342,27.47422293,-0.698082999,2018/5/12
382534246,2018,208,39.59003943,-0.370713508,2018/6/12
382534246,2018,342,-0.89681401,30.38105594,2018/5/2
382534246,2017,330,59.19805996,39.73033753,2017/4/16
382534246,2017,327,21.25655378,31.38470154,2017/10/16
382534246,2017,330,95.85582882,59.77267576,2017/3/11
382534246,2017,208,0.157541947,40.7643898,2017/5/12
363501805,2013,328,40.07415858,50.99448014,2013/5/23
363501805,2013,74,20.83291851,2.221282389,2013/11/23
363501805,2013,64,39.88428962,49.6151782,2013/9/23
494104735,2017,368,3.59038453,0.238733839,2017/9/6
494104735,2017,359,-0.67215068,0.533643076,2017/7/6
494104735,2017,157,0.598657938,0.678193943,2017/6/6
791344126,2016,187,-0.434840073,79.37442563,2016/2/9
791344126,2016,150,1.485130876,20.76810892,2016/7/9
1032231861,2017,255,5.519741663,-0.350167428,2017/5/28
1032231861,2017,199,95.76023005,100.0609395,2017/4/28
1032231861,2018,199,98.91973457,-0.265817431,2018/1/8
1032231861,2018,196,1.46032021,99.30987974,2018/12/8
699829806,2015,70,89.27709415,0.273462458,2015/11/11
699829806,2015,185,-0.743446315,89.19491814,2015/3/11
699829806,2015,301,10.31705764,-0.781381691,2015/6/11
699829806,2015,322,0.717379969,10.2901649,2015/6/11
235091898,2014,361,69.29839778,85.38101011,2014/6/20
258536359,2017,1185,86.70066152,90.22774622,2017/6/30
319263897,2014,1562,10.03082674,-0.068714136,2014/4/18
319263897,2014,1717,84.05669169,0.371219541,2014/10/18
319263897,2014,1013,-0.561711956,99.13614954,2014/12/18
319263897,2014,1875,8.727369725,0.34355332,2014/1/18
161257613,2013,1684,11.80846272,-0.50334584,2014/7/16
161257613,2013,2234,90.26751293,10.46832098,2014/8/16
161257613,2014,2234,90.50220777,8.388949168,2014/8/16
161257613,2014,1684,9.110475687,-1.22844072,2014/6/16
161257613,2015,1176,9.392970892,-0.591425656,2016/3/15
161257613,2015,362,61.03632883,-0.944978055,2016/11/15
161257613,2015,1788,5.375553699,0.972832654,2016/5/15
161257613,2015,2234,8.958736714,0.668598638,2016/3/15
161257613,2018,587,-0.567602313,9.120114918,2018/12/15
161257613,2018,785,90.32613209,60.20724874,2018/6/15
161257613,2018,588,-0.005646388,19.83728318,2018/2/15
212403366,2015,2263,98.84032456,100.4659272,2015/11/19
212403366,2014,782,1.703399427,99.92253232,2014/5/4
212403366,2013,1356,-0.971007134,2.20413392,2013/3/13
212403366,2013,2243,-0.026271345,2.314684763,2013/8/13
212403366,2013,695,0.51608343,94.74958783,2013/4/13
830251398,2016,1299,-1.1605054,25.96227932,2016/8/31
830251398,2016,1445,-0.441531272,24.59616438,2016/3/31
830251398,2016,1987,58.68518368,25.65808157,2016/11/30
830251398,2016,624,-0.820490922,25.51444391,2016/1/31
830251398,2016,299,39.12942524,-0.356560973,2016/7/31
738758084,2013,2496,2.136378351,-0.262486894,2013/6/4
738758084,2013,2534,98.01033058,99.55957361,2013/10/4
640967317,2017,1060,41.99038029,-0.355667774,2017/1/20
640967317,2017,2639,0.85238227,92.72045173,2017/10/20
640967317,2017,2447,49.33628014,-1.218413874,2017/8/20
578970267,2017,2381,91.41885291,70.22716477,2017/7/31
578970267,2017,43,2.196019097,21.46306442,2017/12/31
578970267,2016,2381,-0.619011817,51.05955824,2016/11/4
578970267,2016,2403,1.438155768,48.4353404,2016/6/4
979812063,2015,2276,97.70941965,98.3310438,2014/3/16
694908503,2014,2064,39.37494901,1.166458294,2014/10/24
694908503,2014,2766,20.03328237,-1.562020573,2014/11/24
694908503,2014,2289,0.134403426,31.02926148,2014/6/24
694908503,2014,1575,9.173368446,1.236667136,2014/7/24
694908503,2014,2602,-0.066327925,69.97908695,2014/4/24
694908503,2014,1842,29.96949836,0.339491136,2014/10/24
829050109,2015,136,-0.228310772,90.80743511,2015/1/27
829050109,2015,986,91.39329449,-1.000193804,2015/4/27
829050109,2015,992,8.485262339,9.924951763,2015/3/27
545755580,2016,795,2.486434285,16.56217503,2016/7/8
545755580,2016,2304,1.280068338,12.60871854,2016/12/7
545755580,2016,1774,-0.449860407,12.23242635,2016/9/30
545755580,2016,574,-2.103264216,14.40262991,2016/3/8
545755580,2016,2618,-1.510675581,28.51540704,2016/9/8
545755580,2016,1277,2.158983822,11.9505147,2016/11/8
801579375,2016,793,38.62682291,-0.013988224,2016/12/11
801579375,2016,1838,-0.77158068,39.58895028,2016/7/11
545054487,2015,827,0.697827112,78.7407377,2015/2/10
545054487,2015,2645,71.14152413,0.695778268,2015/7/10
545054487,2016,351,1.148456359,11.6627614,2016/6/27
545054487,2016,827,78.80171063,61.07659079,2016/3/27
545054487,2016,1422,-1.833138629,5.493346726,2016/1/27
545054487,2016,352,-0.806938048,6.912313623,2016/4/27
