entid,tax_type,tax_state,cdate,ttype,province
659104221,4,3,,2,5
68687328,4,3,,2,5
166869326,4,3,,2,5
1194794368,4,3,,2,5
701620490,4,3,,2,5
739378963,4,3,,2,5
739378963,4,3,,2,5
739378963,4,3,,2,5
739378963,4,3,,2,5
739378963,4,3,,2,5
739378963,4,3,,2,5
739378963,4,3,,2,5
739378963,4,3,,2,5
739378963,4,3,,2,5
25272201,4,3,,2,5
1213633567,4,3,,2,5
138874014,4,3,,2,5
246779029,4,3,,2,5
624346306,4,3,,2,5
866893485,4,3,,2,5
756490410,4,3,,2,5
806793229,4,3,,2,5
634715264,4,3,,2,5
979782641,4,3,,2,5
1184142613,4,3,2017-12-19,2,6
549190134,0,3,2015-03-29,1,2
1018645353,0,3,2015-08-24,1,2
5503066,0,3,2016-09-27,1,2
1019081039,0,3,2016-08-28,1,2
26575424,0,3,2015-02-24,1,2
646618607,0,3,2017-11-23,1,2
913367375,0,3,2014-12-22,1,2
1121720437,0,3,2016-05-26,1,2
106493943,0,3,2016-07-27,1,2
367149101,0,3,2014-07-30,1,2
23396983,0,3,2017-01-23,1,2
1050585695,0,3,2016-01-26,1,2
706063241,0,3,2017-09-28,1,2
271874611,0,3,2015-06-18,1,2
754401537,0,3,2015-01-31,1,2
1054940749,0,3,2016-11-25,1,2
532703855,0,3,2016-04-26,1,2
532703855,0,3,2016-11-27,1,2
588112005,0,3,2015-04-23,1,2
120527222,0,3,2014-04-24,1,2
894251596,0,3,2014-03-23,1,2
844571032,0,3,2015-01-24,1,2
1031288467,0,3,2014-09-26,1,2
244208972,4,3,2017-10-31,2,9
581905153,4,3,2017-03-08,2,9
553181905,4,3,,2,9
751034805,4,3,,2,9
928467304,4,3,2016-02-28,2,9
814820539,4,0,2016-02-05,1,8
205974207,4,0,2015-05-26,1,8
289045650,4,0,2016-04-24,1,8
804550396,4,0,2017-05-18,1,8
1157719592,4,0,2016-06-18,1,8
1148422298,4,0,2016-10-20,1,8
589907050,4,0,2017-05-28,1,8
286249077,4,0,2015-12-01,1,8
767933803,4,0,2016-06-22,1,8
545229784,4,0,2016-04-07,1,8
545229784,4,0,2016-05-15,2,5
369907769,4,0,2016-01-09,1,8
595732139,4,0,2017-05-18,1,8
975529059,4,0,2017-02-15,1,8
196371498,4,0,2016-09-27,1,8
342149367,4,0,2016-02-28,1,8
342149367,4,0,2016-10-31,2,5
665767247,4,0,2016-08-30,1,8
505192797,4,0,2016-03-27,1,8
505192797,4,0,2016-02-25,2,5
839154556,4,0,2017-09-27,1,8
1063866717,4,0,2016-02-15,2,5
855724058,4,0,2016-05-29,1,8
489696441,4,0,2017-09-22,1,8
1142187243,4,0,2016-04-22,1,8
484409931,4,0,2010-08-30,1,3
1217755268,4,0,2014-12-13,1,3
266874547,4,0,2015-06-30,1,3
316944600,4,0,2017-07-23,1,3
321871524,4,0,2006-01-28,1,3
744703328,4,0,2016-07-15,1,3
690187757,4,0,2014-12-30,1,3
1227739246,4,0,2016-07-30,1,3
322152429,4,0,2017-08-21,1,3
508315671,4,0,2013-09-25,1,3
1134929168,4,2,2017-06-29,1,3
284014779,4,0,2017-07-27,1,4
791724997,4,0,2015-06-27,1,4
420705509,4,0,2017-07-21,1,8
668155588,4,3,,1,7
577990491,4,3,,1,7
176047002,4,3,2017-10-31,1,7
21798098,2,0,2017-08-25,1,0
738883150,4,3,,1,7
738883150,4,3,,1,7
738883150,4,3,,1,7
738883150,4,3,,1,7
939065635,2,0,2017-06-28,1,0
81775757,1,0,2017-04-29,1,0
