entid,ANCHEYEAR,ANCHEDATE,EMPNUM,WOMEMPNUM,BUSST
380336498,2016,,,,11
1010521891,2014,,,,11
262483415,2017,,,,13
187292727,2015,,7,,11
306578626,2016,,,,18
257560956,2013,2015/9/15,7,,0
923333197,2014,2015/5/21,,,0
963091337,2014,2015/2/25,,,4
856005278,2013,2015/3/26,,,0
902332511,2014,2015/11/11,,,0
134014987,2013,2014/1/15,,,0
134014987,2014,2015/1/1,,,0
818239866,2013,2015/8/21,,,0
763882897,2013,2015/7/20,19,,0
1002985609,2015,2016/9/5,6,,0
1099944224,2014,2016/12/24,,,0
389991809,2014,2015/8/26,,,0
353945399,2013,2015/1/16,,,0
488975702,2013,2015/10/24,8,,0
962203643,2014,2015/10/30,6,,0
142691942,2015,2016/10/27,,,0
263550169,2015,2016/11/12,7,,0
1204996213,2014,2015/9/29,,,0
263550169,2013,2015/7/25,,,0
1120218339,2013,2015/7/14,5,,11
922231918,2015,2016/2/7,,,0
925143437,2014,2015/12/20,,,0
786901755,2014,2015/4/15,4,,0
940923669,2013,2014/12/18,39,,0
1002985609,2016,2017/10/20,10,8,0
113976139,2016,2017/4/20,6,7,0
60501171,2015,2016/4/19,30,,11
695260559,2015,2016/8/14,12,,11
1113943591,2013,2017/2/28,4,,11
679680967,2015,2016/4/4,2,,11
625243944,2016,2017/11/5,10,10,11
327107238,2016,2017/10/23,4,0,11
886096723,2014,2017/1/6,5,,11
1126948899,2014,2017/11/20,7,,11
1098183164,2016,2017/4/24,12,4,11
1095411854,2013,2016/2/11,119,,13
126993263,2016,2017/10/7,3,6,13
685587246,2015,2018/11/23,5,,11
225394176,2016,2017/10/5,95,51,11
1112373491,2016,2017/2/17,30,18,11
966950408,2017,2018/3/22,51,23,11
549310412,2017,2018/9/7,110,67,11
549310412,2016,2017/10/3,114,60,11
615699596,2015,2016/1/19,106,,11
382534246,2015,2016/8/24,3,,11
134014987,2017,2018/10/28,12,4,11
195986951,2015,,4,,11
325265909,2016,,,,11
190939668,2015,,,,11
553787562,2014,,14,,13
1005387686,2016,2017/1/7,7,8,11
271842174,2017,,,,11
1010521891,2015,,,,11
507043244,2017,,,,11
262483415,2013,,7,,11
187292727,2016,,,,11
1036107901,2018,,8,,0
64662931,2015,2016/3/18,29,,0
425173736,2014,2016/10/13,,,0
259184634,2014,2015/5/26,5,,0
920614612,2013,2015/3/5,,,0
64662931,2014,2015/5/29,,,0
97599295,2014,2015/2/21,,,0
1002985609,2013,2014/1/4,,,0
253310567,2013,2014/12/6,210,,0
288764239,2013,2015/8/18,,,0
861969081,2013,2015/11/27,,,0
132799368,2013,2015/11/27,11,,0
1120577622,2013,2015/4/8,17,,0
361556788,2013,2014/11/24,,,0
530384310,2015,2016/2/25,,,0
484518599,2014,2015/12/30,17,,0
361556788,2014,2015/9/28,,,0
1021790428,2014,2016/10/22,,,0
499835405,2014,2015/4/11,,,4
126395312,2015,2016/12/19,,,0
835606294,2013,2015/11/1,,,0
304651929,2014,2015/4/25,,,0
263550169,2016,2017/6/20,8,7,0
861969081,2016,2017/10/20,13,3,0
126395312,2016,2017/5/20,1,9,0
959453158,2017,2018/7/1,39,18,11
530384310,2016,2017/11/22,4,6,11
354934080,2017,2018/9/20,2,4,11
132799368,2017,2018/12/8,5,5,11
77539620,2016,2017/7/19,7,7,11
372210897,2014,2017/5/24,18,,11
372210897,2015,2017/8/24,13,,11
1122041480,2016,2017/5/18,6,8,11
1021056068,2016,2017/5/30,10,4,11
327107238,2013,2017/3/23,7,,11
327107238,2017,2018/4/22,7,8,11
807545963,2014,2017/1/9,1,,11
1126948899,2016,2017/10/20,2,4,11
1032231861,2016,2017/6/15,8,4,11
1032231861,2015,2016/5/5,12,,11
1095411854,2017,2018/12/8,13,9,13
1204996213,2015,2017/6/9,6,,11
126993263,2015,2017/6/7,7,,13
863431175,2017,2018/7/16,5,3,11
15678213,2014,2018/11/29,10,,11
446839231,2017,2018/12/29,4,7,11
514259305,2017,2018/11/11,5,3,11
334445840,2014,2017/4/10,6,,11
898924800,2016,2017/1/18,18,3,11
426526636,2014,2017/5/10,7,,11
426526636,2013,2017/6/10,13,,11
140294893,2017,2018/1/5,6,5,11
911431212,2016,2017/6/8,13,15,11
1099944224,2017,,,,18
553787562,2015,,18,,13
271842174,2015,,,,9
138883672,2016,,,,11
608244362,2017,2018/1/6,6,5,11
343600466,2017,,3,,9
470548263,2017,,,,9
1010521891,2016,,,,11
507043244,2015,,,,11
262483415,2014,,5,,11
464496132,2017,,3,,11
842321361,2013,2015/5/30,,,0
793061643,2013,2014/12/24,,,0
215297274,2014,2015/11/30,,,0
423005894,2013,2015/11/27,9,,0
140294893,2014,2016/5/20,,,0
122404006,2015,2016/10/25,,,0
755521214,2015,2016/4/23,,,0
1120577622,2014,2015/8/26,,,0
959453158,2013,2015/12/26,,,0
1153663696,2014,2015/6/17,,,0
377705656,2014,2015/11/6,,,0
549310412,2014,2015/2/12,,,0
21013823,2013,2014/10/20,,,0
637079923,2014,2015/4/23,,,0
62390575,2014,2015/3/5,,,0
426380994,2015,2016/4/16,,,0
632694374,2013,2014/6/30,,,0
966950408,2013,2014/11/26,,,0
126395312,2014,2015/8/8,23,,0
194980333,2013,2014/12/24,,,0
911431212,2014,2015/4/2,,,0
353592717,2014,2015/5/23,,,0
1002985609,2017,2018/4/27,8,1,11
896254795,2016,2017/2/9,9,6,11
353945399,2016,2017/1/15,143,70,11
132799368,2015,2017/5/29,8,,11
77539620,2017,2018/4/26,6,9,11
372210897,2013,2017/7/24,17,,11
266783579,2016,2017/1/18,6,3,11
368872124,2015,2016/12/9,3,,13
1126948899,2013,2017/2/20,6,,11
1095411854,2014,2016/4/12,118,,13
1095411854,2016,2017/11/19,8,3,13
15678213,2016,2018/1/29,3,,11
446839231,2016,2017/5/25,7,10,11
406101516,2017,2018/1/30,13,9,11
925143437,2015,2017/11/23,6,,11
514259305,2016,2017/5/17,3,0,11
685587246,2017,2018/4/23,3,9,11
334445840,2013,2017/11/30,3,,11
91190477,2017,2018/2/10,13,4,11
1024089624,2017,2018/4/15,26,18,11
660306874,2015,2016/3/15,12,,11
660306874,2017,2018/1/16,12,4,11
113976139,2017,2018/1/3,3,0,11
1155942293,2016,2017/10/22,166,89,11
426526636,2016,2017/3/16,10,13,11
739701909,2015,2017/8/2,6,,11
739701909,2016,2017/9/2,5,6,11
140294893,2016,2018/3/5,10,11,11
1112373491,2014,2016/6/4,33,,11
1112373491,2013,2016/6/4,27,,11
64662931,2016,2017/11/22,14,12,11
615699596,2017,2018/3/16,4,2,11
1036107901,2016,2017/10/19,5,2,11
190939668,2016,,,,11
73384809,2013,,,,9
1099944224,2016,,,,18
553787562,2016,,19,,13
94628547,2015,,9,,11
173608654,2017,2018/1/16,2,8,11
271842174,2016,,,,9
608244362,2015,2016/6/22,35,,11
343600466,2014,,4,,11
470548263,2014,,7,,11
507043244,2016,,10,,11
262483415,2015,,4,,11
252194412,2013,,,,9
464496132,2013,,2,,11
1179998601,2014,2015/9/25,,,0
425173736,2015,2016/8/13,,,4
793061643,2015,2016/9/18,,,0
920614612,2014,2015/2/5,,,0
225394176,2014,2015/1/16,,,0
64662931,2013,2015/10/29,,,0
842321361,2014,2015/12/30,,,0
671369696,2014,2015/6/19,33,,0
902332511,2015,2016/9/19,,,0
569324456,2014,2015/12/18,,,0
1005189649,2013,2015/12/21,,,0
407907886,2014,2015/2/8,,,0
818239866,2014,2015/9/21,,,0
896254795,2015,2016/10/20,,,0
861969081,2014,2015/10/13,,,0
896254795,2014,2015/9/26,,,0
435933247,2014,2015/10/31,,,0
1153663696,2013,2015/9/17,,,0
739701909,2013,2015/12/19,,,0
516297044,2015,2016/11/7,,,0
898924800,2013,2015/8/28,,,0
739701909,2014,2015/5/19,,,0
898924800,2014,2015/8/28,,,0
876795652,2014,2015/5/30,,,0
1024089624,2014,2015/9/23,,,0
484518599,2013,2015/3/30,15,,0
1122041480,2015,2016/11/14,,,0
354934080,2014,2015/3/8,,,0
549310412,2015,2016/4/24,68,,0
901185712,2014,2015/5/26,,,0
940923669,2014,2015/3/16,,,0
442246932,2015,2016/2/23,,,4
615699596,2014,2015/1/14,106,,0
354934080,2013,2015/5/8,,,0
138883672,2014,2015/10/26,,,0
354991442,2016,2017/8/20,78,36,0
959453158,2016,2017/2/20,38,17,0
902332511,2016,2017/8/20,13,13,0
940923669,2017,2018/3/20,27,14,11
861969081,2017,2018/3/12,2,4,11
353592717,2015,2016/3/21,43,,11
755521214,2016,2017/3/16,12,11,11
353945399,2017,2018/4/8,137,65,11
671369696,2016,2017/12/8,5,7,11
671369696,2015,2016/1/27,53,,11
577816325,2015,2017/1/22,4,,11
625243944,2017,2018/11/27,11,4,11
763882897,2015,2017/12/11,4,,11
637079923,2017,2018/9/7,4,6,11
477280607,2017,2018/3/12,5,0,11
126395312,2013,2014/11/15,9,,11
1021056068,2017,2018/1/20,11,11,11
327107238,2015,2017/3/23,2,,11
886096723,2017,2018/7/15,8,9,13
807545963,2017,2018/10/26,10,7,11
685587246,2016,2018/11/23,1,3,11
757360944,2017,2018/1/25,10,10,11
898924800,2015,2016/1/9,12,,11
426526636,2015,2017/7/10,13,,11
225394176,2017,2018/1/9,83,58,11
288764239,2017,2018/1/8,10,8,11
615699596,2016,2017/3/17,6,4,11
382534246,2017,2018/12/19,8,8,11
1021790428,2017,2018/11/17,3,3,11
194980333,2017,2018/2/15,10,10,11
195986951,2014,,11,,11
142691942,2016,,,,11
73384809,2014,,,,9
911431212,2017,,,,11
94628547,2016,,7,,11
380336498,2017,,2,,11
173608654,2014,2016/2/4,8,,11
1120577622,2015,,,,11
1120577622,2017,,,,11
608244362,2016,2017/7/14,14,8,11
343600466,2015,,7,,9
760576075,2017,,11,,11
470548263,2015,,6,,11
407907886,2015,,,,11
1228052139,2013,,,,11
262483415,2016,,11,,11
252194412,2014,,,,9
138883672,2017,,,,11
442246932,2016,,,,11
464496132,2014,,2,,11
334445840,2018,,,,8
1021790428,2018,,,,18
932526009,2013,2015/3/26,5,,0
307832564,2014,2015/1/20,,,0
856005278,2014,2015/6/26,,,0
932526009,2014,2015/6/26,10,,0
924050101,2014,2015/5/14,10,,11
1010536331,2013,2015/4/30,,,0
924050101,2013,2015/7/14,4,,11
482394235,2014,2015/1/16,,,0
902332511,2013,2015/1/11,,,0
368872124,2014,2015/12/13,,,4
1032231861,2014,2016/8/7,,,0
648328511,2013,2015/4/3,,,0
214259216,2014,2015/6/21,37,,0
140294893,2015,2016/3/20,,,0
371713118,2013,2014/3/30,122,,0
488975702,2014,2015/8/24,12,,0
140294893,2013,2016/6/20,,,0
1021056068,2013,2015/2/28,,,0
435933247,2013,2015/10/31,,,0
132799368,2014,2015/6/27,11,,0
264061220,2014,2015/6/22,14,,0
957798659,2013,2015/11/16,,,0
660529291,2013,2015/5/28,6,,4
263550169,2014,2015/2/25,9,,0
959453158,2014,2015/10/26,,,0
1120218339,2014,2015/9/14,7,,11
250442914,2014,2015/9/18,5,,11
940923669,2015,2016/2/26,,,0
118080722,2014,2015/12/10,,,0
353592717,2013,2015/4/23,,,0
922231918,2014,2016/1/7,,,0
134014987,2016,2017/2/20,10,4,0
122404006,2016,2017/12/20,22,11,0
371713118,2015,2016/5/21,7,,11
793061643,2016,2017/10/27,121,54,11
60501171,2016,2017/11/6,21,14,11
60501171,2017,2018/10/26,22,14,11
354934080,2016,2017/12/16,12,1,11
122404006,2017,2018/7/24,25,14,15
637079923,2015,2018/2/7,7,,11
349263176,2016,2017/4/22,1,0,11
349263176,2017,2018/2/28,7,5,11
368872124,2017,2018/8/8,18,5,11
1126948899,2017,2018/12/26,6,1,11
1098183164,2017,2018/7/15,7,1,11
1217625539,2016,2017/8/20,5,0,11
1217625539,2015,2016/3/22,14,,11
15678213,2017,2018/6/29,4,,11
334445840,2017,2018/3/12,9,7,11
1024089624,2016,2017/3/18,17,10,11
1087212956,2015,2016/10/19,2,,11
1155942293,2015,2017/6/21,162,,11
739701909,2017,2018/11/28,3,1,11
922231918,2017,2018/3/4,19,7,11
288764239,2016,2017/6/30,6,9,11
73384809,2015,,,,9
632122462,2017,,,,11
380336498,2013,,5,,11
608027695,2017,,,,9
173608654,2015,2016/12/4,4,,11
1120577622,2016,,,,11
343600466,2016,,8,,9
760576075,2014,,8,,11
470548263,2016,,10,,11
1228052139,2014,,,,11
252194412,2015,,,,9
464496132,2015,,2,,11
1099944224,2015,,,,11
64662931,2018,2019/12/28,17,17,0
615699596,2018,2019/5/18,5,5,0
966950408,2018,2019/10/12,50,21,0
1098183164,2018,2019/5/28,9,3,0
464496132,2018,2019/12/21,7,7,0
426526636,2018,2019/4/27,14,11,0
225394176,2018,2019/10/25,84,52,0
1087212956,2018,2019/1/25,19,12,0
704862560,2018,2019/2/28,6,5,0
288764239,2018,2019/7/17,5,7,0
134014987,2018,2019/9/14,13,,0
660306874,2018,2019/11/19,10,0,0
126395312,2018,2019/1/19,4,1,0
1217625539,2018,2019/2/7,8,7,0
1005387686,2018,2019/12/30,4,4,7
757360944,2018,2019/9/7,5,6,0
173608654,2018,2019/8/8,7,3,0
886096723,2018,2019/12/3,4,9,0
477280607,2018,2019/4/11,7,1,0
1002985609,2018,2019/2/2,6,8,0
1122041480,2018,2019/3/20,4,7,0
138883672,2018,2019/4/27,3,,0
760576075,2018,2019/3/22,1,5,11
1120577622,2018,2019/1/25,20,7,11
187292727,2018,2019/6/1,1,7,11
1099944224,2018,2019/12/23,5,6,11
195986951,2018,2019/10/5,2,4,11
195986951,2017,2019/11/5,7,0,11
271842174,2018,2019/7/16,9,0,11
514259305,2018,2019/5/19,0,4,11
861969081,2018,2019/11/28,6,,11
426380994,2018,2019/2/13,25,,11
940923669,2018,2019/4/18,35,,11
194980333,2018,2019/2/25,1,,11
679680967,2018,2019/12/17,6,2,11
406101516,2018,2019/6/3,0,1,11
922231918,2018,2019/1/4,17,10,11
140294893,2018,2019/4/23,11,8,11
925143437,2018,2019/9/19,4,3,9
625243944,2018,2019/10/30,6,4,11
1126948899,2018,2019/2/28,7,2,9
896254795,2018,2019/8/4,5,5,11
1095411854,2018,2019/6/9,5,5,13
549310412,2018,2019/7/29,116,61,11
755521214,2018,2019/5/13,12,8,11
349263176,2018,2019/4/24,1,9,11
372210897,2018,2019/3/9,10,0,11
113976139,2018,2019/11/7,10,1,11
695260559,2018,2019/12/11,9,8,11
793061643,2018,2019/1/12,105,53,11
253310567,2018,2019/11/5,26,28,11
60501171,2018,2019/10/16,29,9,11
122404006,2018,2019/5/21,15,11,15
382534246,2018,2019/4/19,4,3,11
1112373491,2018,2019/3/5,26,17,11
77539620,2018,2019/9/6,6,3,11
371713118,2018,2019/12/11,6,7,11
371713118,2017,2019/7/24,5,6,11
368872124,2018,2019/12/14,5,2,11
1024089624,2018,2019/11/9,23,26,11
353945399,2018,2019/5/22,130,65,11
353592717,2018,2019/12/27,110,,11
1021056068,2018,2019/11/16,10,3,11
132799368,2018,2019/9/30,4,1,11
637079923,2018,2019/8/6,1,4,11
911431212,2018,2019/8/6,11,8,11
959453158,2018,2019/1/19,22,16,11
1155942293,2018,2019/2/21,153,95,11
739701909,2018,2019/8/3,5,5,11
530384310,2018,2019/10/26,12,7,11
863431175,2018,2019/7/26,5,8,11
671369696,2018,2019/3/17,34,16,11
898924800,2018,2019/4/4,13,,11
354991442,2018,2019/3/8,126,,11
263550169,2018,2019/7/22,1,,11
91190477,2018,2019/6/23,11,10,11
1032231861,2018,2019/6/6,9,9,11
1022501713,2015,2016/10/6,14,,0
467117200,2013,2015/5/21,,,4
1176966297,2014,2015/8/17,,,0
918218034,2014,2015/1/3,,,0
1080539525,2013,2014/9/8,10,,0
467117200,2015,2016/3/1,,,4
246124439,2013,2015/5/21,17,,0
918218034,2015,2016/5/19,,,0
498426938,2013,2015/9/23,,,0
870389928,2013,2015/1/22,12,,0
870389928,2014,2015/2/22,11,,0
808713634,2013,2015/2/28,,,0
1064971831,2013,2015/12/25,,,0
276103663,2015,2016/1/29,,,0
276103663,2013,2014/1/26,,,5
1157977132,2013,2014/4/13,,,0
870151652,2014,2015/5/30,,,0
1079431533,2013,2014/10/26,0,,0
165643720,2013,2015/5/30,,,0
268673627,2014,2015/2/24,,,0
222738122,2014,2015/4/19,,,0
507433114,2013,2014/3/19,43,,0
241484762,2013,2014/5/25,,,0
302806995,2013,2014/4/5,,,0
10711834,2015,2016/3/14,6,,0
31485576,2014,2015/1/14,5,,0
1176966297,2016,2017/3/20,6,7,0
455558271,2016,2017/7/17,2,9,11
1032328768,2017,2018/1/15,5,11,11
1032328768,2013,2017/3/6,12,,11
1087381924,2017,2018/8/21,4,5,11
548493601,2015,2017/11/29,9,,11
729220676,2016,2017/2/17,4,7,11
151413858,2017,2018/1/22,7,9,11
1157977132,2016,2017/5/8,10,11,11
1024186033,2016,2017/4/17,38,11,11
950477262,2015,2017/2/22,9,,11
222738122,2015,2016/2/2,22,,11
222738122,2017,2018/10/23,14,7,11
542928036,2017,2018/6/19,6,5,11
411188025,2016,2017/7/21,5,2,11
19850270,2017,2018/9/26,6,7,11
40304519,2016,2017/3/17,13,9,11
671030964,2016,2017/1/20,7,6,11
671030964,2014,2017/4/13,11,,11
923590000,2017,2018/5/25,4,6,9
98881159,2016,2017/6/30,3,2,11
601440257,2015,2017/11/27,10,,11
601440257,2014,2017/11/27,5,,11
860901481,2015,2016/6/5,9,,11
653184071,2016,2017/7/13,11,8,11
1169005838,2017,2018/11/28,4,8,11
137040147,2017,2018/5/22,6,2,11
252988494,2016,2017/3/13,5,9,11
1079431533,2017,2018/7/15,3,7,11
139799966,2017,2018/6/2,13,3,11
1084656325,2015,2017/10/25,4,,11
1084656325,2017,2018/8/28,8,5,11
510117950,2016,2017/10/19,80,69,11
507433114,2016,2017/10/13,43,20,11
510117950,2017,2018/1/25,10,11,11
725698768,2015,2016/2/28,44,,11
922667663,2014,2017/8/9,5,,11
922667663,2015,2017/10/9,10,,9
526297028,2013,,,,11
77491511,2014,,,,13
1033647152,2016,,,,13
618751808,2017,,,,11
566363148,2016,2017/5/20,5,4,11
235846361,2016,,,,11
473603328,2015,,,,11
174838085,2016,,,,11
11578219,2015,,7,,11
95211015,2013,,30,,11
850424865,2013,,,,9
862518655,2017,,7,,11
1171029049,2017,,,,11
587234785,2014,2016/8/25,10,,11
794816216,2014,,6,,9
212936139,2017,,,,11
1109695431,2015,,,,11
900005310,2016,,,,11
582674865,2017,,7,,11
571576131,2016,,,,11
1111263046,2014,2015/7/25,14,,0
40304519,2014,2015/5/5,,,0
221832261,2014,2015/11/19,,,0
739078714,2014,2015/12/9,,,0
142218422,2015,2016/12/23,,,0
739078714,2013,2015/3/9,,,0
278469566,2013,2015/9/12,,,0
20822760,2014,2015/7/3,,,0
1080539525,2015,2016/7/23,9,,0
475255424,2014,2015/9/29,,,0
901589297,2015,2016/11/27,9,,0
968775415,2014,2015/8/29,17,,0
1087381924,2014,2015/7/26,,,0
494104735,2014,2015/5/5,,,0
310206872,2013,2015/9/13,,,0
