entid,region_id,entertype_tax,industry_tax,registertype,economic_type,incometax_rate,collection_type,EMPNUM,year
334660907,9,,,10,170,,2,4.0,2015.0
102673201,26,,,8,211,,2,8.0,2016.0
102673201,33,,,8,211,0.25,2,2.0,2017.0
516212728,9,0.0,2.0,8,56,0.25,1,,
516212728,9,,,8,238,,2,3.0,2016.0
516212728,9,,,8,238,,2,8.0,2015.0
516212728,9,,,19,223,0.25,2,3.0,2017.0
252045506,10,0.0,2.0,8,76,0.25,0,,
252045506,10,,,8,238,,2,3.0,2016.0
252045506,14,,,8,238,0.25,2,3.0,2017.0
1007251516,11,0.0,2.0,1,56,0.25,0,,
1007251516,8,,,8,206,,2,7.0,2016.0
1007251516,8,,,8,206,,2,20.0,2015.0
1007251516,8,,,8,206,0.25,2,50.0,2017.0
341104627,14,,,8,192,,2,6.0,2016.0
341104627,14,,,8,192,,2,6.0,2015.0
341104627,14,,,8,192,0.25,2,0.0,2017.0
220448783,9,,,8,206,,2,20.0,2016.0
220448783,14,,,8,146,,2,20.0,2015.0
220448783,14,,,8,206,0.25,2,5023.0,2017.0
516820430,9,0.0,2.0,21,66,0.25,0,15.0,
211101804,9,1.0,2.0,8,61,0.25,0,5.0,
547440553,7,,2.0,8,76,0.25,1,,
547440553,9,,,8,238,,2,2.0,2016.0
547440553,9,,,8,238,,2,2.0,2015.0
740244329,9,0.0,2.0,19,67,0.25,1,,
740244329,9,,,8,238,,2,2.0,2016.0
740244329,9,,,8,238,,2,2.0,2015.0
691454697,9,0.0,2.0,19,61,0.25,0,,
691454697,9,,,19,211,,2,1.0,2016.0
691454697,9,,,19,211,,2,5.0,2015.0
691454697,9,,,19,211,0.25,2,2.0,2017.0
969723121,7,,2.0,8,28,0.25,1,,
969723121,18,,,8,146,,2,10.0,2015.0
219381665,18,,,8,172,,2,1.0,2016.0
575004686,18,0.0,2.0,8,76,0.25,1,,
575004686,18,,,8,238,,2,2.0,2016.0
575004686,18,,,8,238,,2,3.0,2015.0
575004686,18,,,8,238,0.25,2,3.0,2017.0
36393553,22,0.0,2.0,8,76,0.25,0,,
36393553,22,,,8,206,,2,1.0,2016.0
36393553,36,,,8,206,,2,10.0,2015.0
36393553,36,,,8,206,0.25,2,10.0,2017.0
549310412,37,1.0,2.0,9,36,0.25,0,128.0,
549310412,28,,,11,168,,2,128.0,2016.0
549310412,37,,,9,168,,2,128.0,2015.0
439588592,25,0.0,2.0,8,67,0.25,0,,
439588592,26,,,8,236,,2,4.0,2016.0
439588592,26,,,8,236,,2,4.0,2015.0
1095411854,31,0.0,1.0,8,4,0.25,0,128.0,
1095411854,35,0.0,1.0,8,6,0.25,0,35.0,
1095411854,31,,,8,92,,2,35.0,2016.0
1095411854,31,,,8,92,,2,35.0,2015.0
1095411854,31,,,8,197,0.25,2,35.0,2017.0
774143406,7,0.0,2.0,8,42,0.25,0,,
312112730,30,0.0,2.0,8,61,0.25,0,,
221711104,40,0.0,2.0,19,40,0.25,0,,
221711104,40,,,19,172,,2,3.0,2016.0
221711104,40,,,19,169,,2,3.0,2015.0
221711104,40,,,20,172,0.25,2,9.0,2017.0
858710610,56,0.0,2.0,8,56,0.25,0,2.0,
858710610,56,,,8,206,,2,2.0,2016.0
858710610,56,,,8,206,,2,2.0,2015.0
24295028,47,0.0,2.0,8,42,0.25,0,,
24295028,47,,,8,172,,2,3.0,2015.0
532580930,64,0.0,2.0,8,67,0.25,0,,
532580930,64,,,8,222,,2,3.0,2015.0
276103663,58,0.0,2.0,8,55,0.25,0,1.0,
276103663,58,,,8,206,,2,1.0,2016.0
276103663,58,,,8,205,,2,5.0,2015.0
276103663,58,,,8,206,0.25,2,1.0,2017.0
100724777,63,1.0,2.0,19,41,0.25,0,5.0,
100724777,63,,,19,172,,2,6.0,2016.0
100724777,65,,,19,172,,2,5.0,2015.0
100724777,65,,,19,172,0.25,2,5.0,2017.0
1113909111,62,0.0,2.0,8,55,0.25,0,,
1113909111,62,,,8,211,,2,8.0,2016.0
1113909111,62,,,8,211,,2,8.0,2015.0
916447957,48,0.0,2.0,19,55,0.25,0,2.0,
916447957,48,,,19,222,,2,12.0,2016.0
748718009,41,0.0,2.0,19,56,0.25,0,,
748718009,41,,,19,206,,2,2.0,2016.0
748718009,41,,,19,206,,2,2.0,2015.0
748718009,41,,,19,206,0.25,2,5.0,2017.0
982196289,42,0.0,2.0,19,56,0.25,0,,
982196289,42,,,19,206,,2,3.0,2016.0
982196289,52,,,19,206,,2,3.0,2015.0
982196289,52,,,19,206,0.25,2,1.0,2017.0
86389424,48,0.0,2.0,17,56,0.25,0,,
86389424,48,,,19,206,,2,2.0,2016.0
86389424,53,,,17,206,,2,2.0,2015.0
86389424,53,,,19,206,0.25,2,4.0,2017.0
955997658,46,,,19,211,,2,2.0,2016.0
955997658,51,,,19,211,,2,2.0,2015.0
955997658,45,,,19,211,0.25,2,9.0,2017.0
332305361,43,0.0,2.0,8,48,0.25,0,,
332305361,43,,,8,182,,2,5.0,2015.0
1001226199,42,0.0,2.0,19,55,0.25,0,1.0,
1001226199,42,,,19,211,,2,2.0,2016.0
1001226199,50,,,19,211,,2,2.0,2015.0
1001226199,50,,,19,211,0.25,2,1.0,2017.0
1034982777,58,0.0,2.0,8,55,0.25,0,2.0,
1034982777,57,0.0,2.0,19,61,0.25,1,,
1034982777,58,,,8,211,,2,4.0,2016.0
1034982777,58,,,8,184,,2,3.0,2015.0
909295164,55,0.0,2.0,19,44,0.25,0,5.0,
909295164,55,,,8,177,,2,4.0,2016.0
909295164,54,,,19,175,,2,2.0,2015.0
909295164,55,,,19,177,0.25,2,3.0,2017.0
887911034,45,,,19,211,,2,2.0,2016.0
887911034,49,,,19,211,0.25,2,3.0,2017.0
896254795,55,0.0,2.0,8,61,0.25,0,1.0,
896254795,55,,,8,206,,2,3.0,2016.0
896254795,55,,,8,211,,2,3.0,2015.0
896254795,55,,,8,206,0.25,2,3.0,2017.0
1103426680,61,0.0,2.0,19,55,0.25,0,14.0,
1103426680,61,,,19,206,,2,10.0,2016.0
1103426680,61,,,19,206,,2,10.0,2015.0
387113835,42,0.0,2.0,25,55,0.25,0,3.0,
387113835,42,,,25,206,,2,3.0,2016.0
387113835,50,,,25,206,,2,3.0,2015.0
387113835,50,,,25,206,0.25,2,3.0,2017.0
65683190,44,1.0,2.0,6,41,0.25,0,10.0,
65683190,44,,,6,172,,2,11.0,2016.0
65683190,44,,,6,172,,2,11.0,2015.0
65683190,44,,,6,172,0.25,2,1.0,2017.0
411188025,58,0.0,2.0,19,60,0.25,0,1.0,
411188025,58,,,19,210,,2,2.0,2016.0
411188025,60,,,19,210,,2,2.0,2015.0
411188025,60,,,8,210,0.25,2,1.0,2017.0
632694374,42,0.0,2.0,19,61,0.25,0,,
920939603,58,0.0,2.0,8,55,0.25,0,1.0,
920939603,58,,,19,210,,2,1.0,2016.0
920939603,59,,,19,205,,2,1.0,2015.0
920939603,59,,,8,210,0.25,2,1.0,2017.0
594662985,54,0.0,2.0,8,67,0.25,1,,
594662985,54,,,19,206,,2,1.0,2016.0
594662985,54,,,19,222,,2,2.0,2015.0
594662985,54,,,19,206,0.25,2,1.0,2017.0
982108430,107,,,8,211,,2,3.0,2016.0
786901755,156,0.0,2.0,8,61,0.25,0,1.0,
1212253508,68,0.0,2.0,8,56,0.25,1,,
1212253508,68,,,8,206,,2,5.0,2016.0
1212253508,68,,,8,225,0.25,2,50.0,2017.0
1190939067,108,,,8,157,,2,95.0,2016.0
1190939067,108,,,8,157,,2,95.0,2015.0
1190939067,108,,,8,157,0.25,2,4.0,2017.0
487814001,73,0.0,2.0,8,56,0.25,0,2.0,
1151638109,139,,,8,211,,2,2.0,2016.0
896252612,73,,,8,211,,2,2.0,2016.0
922667663,78,,,19,206,,2,2.0,2016.0
1074939474,68,0.0,2.0,8,48,0.25,1,,
1085075577,71,,,8,222,,2,2.0,2016.0
1085075577,71,,,8,188,0.25,2,2.0,2017.0
615010244,71,,,8,222,,2,3.0,2016.0
601440257,73,0.0,2.0,8,23,0.25,0,3.0,
601440257,73,,,8,206,,2,3.0,2016.0
601440257,73,,,8,136,,2,3.0,2015.0
601440257,70,,,8,206,0.25,2,3.0,2017.0
98897555,72,,,8,211,,2,3.0,2016.0
773782695,67,0.0,2.0,19,55,0.25,0,2.0,
773782695,67,,,19,211,,2,2.0,2016.0
315181301,75,0.0,2.0,19,54,0.25,0,1.0,
315181301,75,,,19,204,,2,3.0,2016.0
701756227,106,,,8,176,,2,10.0,2016.0
1180550222,68,0.0,2.0,8,67,0.25,0,,
148194467,128,0.0,2.0,8,67,0.25,1,,
75481607,72,,,8,211,,2,3.0,2016.0
138665184,68,,,8,211,,2,3.0,2016.0
224078802,73,,,8,211,,2,2.0,2016.0
651350596,97,0.0,2.0,8,27,0.25,0,2.0,
813963206,86,,,8,222,0.25,2,2.0,2017.0
1160047562,121,0.0,2.0,8,55,0.25,0,1.0,
277248694,89,0.0,2.0,9,56,0.25,0,5.0,
277248694,89,,,15,206,,2,2.0,2016.0
277248694,72,,,15,225,0.25,2,12.0,2017.0
1116063280,68,0.0,2.0,8,48,0.25,0,,
1220196703,67,0.0,2.0,19,55,0.25,0,2.0,
1220196703,67,,,19,211,,2,2.0,2016.0
640968401,68,0.0,2.0,8,67,0.25,0,1.0,
640968401,68,,,8,222,,2,3.0,2016.0
640968401,68,,,8,222,0.25,2,3.0,2017.0
256615940,97,,,19,210,,2,2.0,2016.0
1066230471,72,0.0,2.0,8,61,0.25,0,,
1066230471,89,,,8,211,,2,5.0,2016.0
985924084,107,,,8,210,,2,4.0,2016.0
985924084,107,,,8,210,0.25,2,3.0,2017.0
193764953,141,0.0,2.0,8,55,0.25,0,6.0,
563543209,68,0.0,2.0,8,67,0.25,0,,
957798659,73,,,8,211,,2,5.0,2016.0
87460021,68,0.0,2.0,8,55,0.25,0,2.0,
87460021,68,,,8,206,,2,3.0,2016.0
87460021,68,,,8,206,0.25,2,2.0,2017.0
1049675770,134,,,6,178,0.25,2,3.0,2017.0
216862463,68,0.0,2.0,8,67,0.25,0,3.0,
98705427,68,0.0,2.0,8,55,0.25,0,5.0,
98705427,68,,,8,218,,2,5.0,2016.0
542928036,78,,,8,173,0.25,2,2.0,2017.0
118080722,68,0.0,2.0,8,48,0.25,0,2.0,
777389681,89,0.0,2.0,8,56,0.25,0,3.0,
777389681,89,,,8,206,,2,3.0,2016.0
1083867584,67,,,8,179,,2,3.0,2016.0
728197693,68,0.0,2.0,8,67,0.25,0,3.0,
728197693,68,,,8,222,,2,3.0,2016.0
213804497,78,,,8,206,,2,3.0,2016.0
213804497,78,,,8,206,0.25,2,3.0,2017.0
1090257579,68,0.0,2.0,8,67,0.25,0,2.0,
1090257579,68,,,8,222,,2,7.0,2016.0
1090257579,68,,,8,222,,2,7.0,2015.0
1090257579,68,,,8,222,0.25,2,7.0,2017.0
109252429,68,0.0,2.0,8,66,0.25,0,3.0,
109252429,68,,,8,221,,2,3.0,2016.0
1010536331,67,0.0,2.0,19,49,0.25,0,6.0,
1010536331,67,,,19,193,,2,6.0,2016.0
871120598,68,,,8,211,,2,2.0,2016.0
869389017,68,0.0,2.0,8,48,0.25,0,,
758012511,73,,,8,222,,2,2.0,2016.0
901159650,67,,,19,210,,2,2.0,2016.0
55745086,68,0.0,2.0,8,40,0.25,0,3.0,
55745086,68,,,8,169,,2,3.0,2016.0
55745086,68,,,8,169,0.25,2,2.0,2017.0
763566074,68,,,8,182,,2,2.0,2016.0
867987605,68,0.0,2.0,8,27,0.25,1,3.0,
867987605,68,,,8,155,,2,3.0,2016.0
272730092,114,,2.0,8,53,0.25,1,,
272730092,114,,,8,206,,2,20.0,2016.0
272730092,114,,,8,119,,2,10.0,2015.0
272730092,114,,,8,196,0.25,2,10.0,2017.0
115339998,67,0.0,,19,27,0.25,0,,
897522411,68,0.0,2.0,8,61,0.25,0,,
897522411,68,,,8,211,,2,1.0,2016.0
493673299,68,0.0,2.0,8,61,0.25,0,,
214259216,73,0.0,2.0,8,55,0.25,0,2.0,
214259216,73,,,8,206,,2,2.0,2016.0
1088282626,114,0.0,2.0,19,55,0.25,0,1.0,
1088282626,114,,,19,210,,2,2.0,2016.0
195013822,124,0.0,2.0,8,66,0.25,0,,
758105004,68,0.0,2.0,8,55,0.25,0,2.0,
758105004,68,,,8,211,,2,2.0,2016.0
304078443,67,,,8,211,,2,3.0,2016.0
379616714,67,0.0,2.0,8,61,0.25,0,,
672691887,67,0.0,2.0,8,61,0.25,0,,
672691887,67,,,8,211,,2,2.0,2016.0
70168830,67,0.0,2.0,8,76,0.25,0,,
70168830,67,,,8,238,,2,2.0,2016.0
327183771,67,0.0,2.0,8,56,0.25,0,,
560635202,134,0.0,2.0,8,55,0.25,0,1.0,
85625020,67,0.0,2.0,8,61,0.25,0,,
332412177,67,0.0,2.0,8,67,0.25,0,,
351807698,67,0.0,2.0,19,55,0.25,0,,
351807698,67,,,19,210,,2,2.0,2016.0
122220175,154,,,8,211,,2,5.0,2016.0
122220175,154,,,8,211,,2,2.0,2015.0
122220175,154,,,8,211,0.25,2,2.0,2017.0
1164000197,67,0.0,2.0,19,23,0.25,0,,
1164000197,67,,,19,131,,2,2.0,2016.0
1138896658,72,0.0,2.0,8,67,0.25,0,1.0,
1138896658,72,,,8,222,,2,2.0,2016.0
749517298,67,0.0,2.0,19,55,0.25,0,2.0,
392624698,67,,,19,206,,2,2.0,2016.0
29156211,67,0.0,2.0,8,56,0.25,0,,
1201058246,67,0.0,2.0,8,56,0.25,0,,
275122329,67,,,19,211,,2,2.0,2016.0
21702078,67,,,8,211,,2,3.0,2016.0
21702078,67,,,8,211,,2,2.0,2015.0
21702078,67,,,8,211,0.25,2,3.0,2017.0
763126220,68,,,8,211,,2,2.0,2016.0
763126220,68,,,8,211,,2,2.0,2015.0
530658986,68,,,8,211,,2,2.0,2016.0
19612741,70,1.0,2.0,5,56,0.25,0,,
667001484,112,,,8,211,,2,2.0,2016.0
907519372,121,0.0,2.0,8,67,0.25,0,2.0,
907519372,121,,,8,222,,2,3.0,2016.0
907519372,117,,,8,222,,2,3.0,2015.0
808713634,73,0.0,2.0,8,60,0.25,0,,
1047933852,68,0.0,2.0,8,67,0.25,0,,
150872418,73,0.0,2.0,8,61,0.25,0,2.0,
534061844,68,1.0,2.0,6,41,0.25,0,12.0,
534061844,68,,,6,170,,2,12.0,2016.0
534061844,68,,,6,170,,2,12.0,2015.0
163955432,72,,,8,147,,2,10.0,2016.0
267064445,68,0.0,2.0,8,56,0.25,0,5.0,
267064445,68,,,8,206,,2,2.0,2016.0
267064445,68,,,8,206,0.25,2,3.0,2017.0
779872233,68,0.0,2.0,8,61,0.25,0,,
779872233,68,,,8,211,,2,3.0,2016.0
35566715,68,,,24,211,,2,2.0,2016.0
137040147,67,,,8,211,,2,3.0,2016.0
137040147,67,,,8,211,,2,4.0,2015.0
137040147,67,,,8,211,0.25,2,4.0,2017.0
462629255,73,,,8,222,,2,2.0,2016.0
1036107901,69,,,8,210,,2,3.0,2016.0
1036107901,69,,,8,210,0.25,2,1.0,2017.0
370924930,154,,,8,214,0.25,2,3.0,2017.0
473603328,68,0.0,2.0,8,60,0.25,0,,
1126948899,68,0.0,2.0,8,61,0.25,0,2.0,
1126948899,68,,,8,211,,2,2.0,2016.0
1126948899,68,,,8,211,0.25,2,2.0,2017.0
1094770755,67,0.0,2.0,8,56,0.25,0,3.0,
1094770755,67,,,8,206,,2,2.0,2016.0
1094770755,67,,,8,206,0.25,2,2.0,2017.0
849377837,68,0.0,2.0,8,67,0.25,0,,
779853295,68,0.0,2.0,8,67,0.25,0,3.0,
779853295,68,,,8,222,,2,3.0,2016.0
779853295,68,,,8,222,,2,3.0,2015.0
779853295,68,,,8,222,0.25,2,3.0,2017.0
1074043626,68,0.0,2.0,8,42,0.25,0,1.0,
1074043626,68,,,8,172,,2,3.0,2016.0
1074043626,68,,,8,172,0.25,2,3.0,2017.0
661278803,68,0.0,2.0,8,48,0.25,0,,
605679896,73,,,8,169,,2,1.0,2016.0
579589393,85,0.0,2.0,9,55,0.25,0,2.0,
579589393,85,,,15,218,,2,2.0,2016.0
579589393,85,,,9,218,,2,2.0,2015.0
12797847,68,0.0,2.0,8,23,0.25,0,,
12797847,68,,,8,128,,2,6.0,2016.0
371360255,68,0.0,2.0,8,23,0.25,0,,
371360255,68,,,8,144,,2,2.0,2016.0
113560248,68,,2.0,8,67,0.25,1,,
288764239,68,0.0,2.0,8,76,0.25,0,,
334658801,68,,,8,211,,2,2.0,2016.0
967660196,73,,,8,210,,2,3.0,2016.0
967660196,73,,,8,210,,2,3.0,2015.0
380623635,68,,,8,211,,2,3.0,2016.0
398431409,67,0.0,2.0,19,27,0.25,1,,
398431409,67,,,19,152,,2,5.0,2016.0
625243944,72,0.0,2.0,8,67,0.25,1,,
625243944,72,,,8,222,0.25,2,3.0,2017.0
980472682,73,,,8,182,,2,1.0,2016.0
1203938154,67,0.0,2.0,8,76,0.25,0,,
691834047,68,0.0,2.0,8,61,0.25,0,,
1179998601,68,0.0,2.0,8,55,0.25,0,17.0,
1179998601,68,,,8,211,,2,3.0,2016.0
1222676313,67,0.0,2.0,8,61,0.25,0,,
740640299,67,0.0,2.0,8,66,0.25,0,,
740640299,67,,,8,221,0.25,2,1.0,2017.0
576223938,68,1.0,2.0,8,51,0.25,0,,
576223938,68,,,8,193,,2,5.0,2016.0
580309977,67,0.0,2.0,8,66,0.25,0,,
580309977,67,,,8,221,,2,2.0,2016.0
1021133736,67,0.0,2.0,8,56,0.25,0,,
566709980,68,0.0,2.0,8,68,0.25,0,2.0,
1087388731,68,0.0,2.0,8,55,0.25,0,2.0,
1087388731,68,,,8,211,,2,3.0,2016.0
300801599,68,0.0,2.0,8,70,0.25,0,,
1163686299,67,0.0,2.0,8,60,0.25,0,,
1063012839,68,,,8,211,,2,3.0,2016.0
632218956,67,,,19,211,,2,2.0,2016.0
361556788,67,0.0,2.0,19,55,0.25,0,2.0,
361556788,67,,,8,211,,2,3.0,2016.0
225802790,67,,,19,211,,2,2.0,2016.0
974430232,67,0.0,2.0,8,56,0.25,0,2.0,
925143437,67,0.0,2.0,19,55,0.25,0,2.0,
925143437,67,,,19,211,,2,3.0,2016.0
188029906,69,,2.0,8,50,0.25,1,,
188029906,69,,,8,192,,2,2.0,2016.0
188029906,69,,,8,224,0.25,2,1.0,2017.0
519239830,67,0.0,2.0,8,55,0.25,0,,
519239830,67,,,8,207,,2,2.0,2016.0
85055244,67,,,8,195,0.25,2,3.0,2017.0
140294893,68,0.0,,9,36,0.25,0,13.0,
140294893,68,,,10,182,,2,12.0,2016.0
140294893,68,,,9,182,,2,13.0,2015.0
140294893,68,,,10,182,0.25,2,1.0,2017.0
489434433,103,,,8,88,,2,5.0,2016.0
1063798897,68,,,19,211,,2,2.0,2016.0
1063798897,68,,,19,211,0.25,2,1.0,2017.0
1187619116,68,0.0,2.0,8,55,0.25,0,1.0,
1187619116,68,,,8,211,,2,2.0,2016.0
1211146226,67,0.0,2.0,8,66,0.25,0,2.0,
766781991,157,0.0,2.0,8,67,0.25,0,,
766781991,148,,,8,222,,2,1.0,2016.0
1011668876,68,0.0,2.0,8,55,0.25,0,2.0,
1011668876,68,,,8,211,,2,3.0,2016.0
275908927,68,0.0,2.0,8,55,0.25,0,2.0,
275908927,68,,,8,211,,2,2.0,2016.0
8821659,69,0.0,2.0,8,67,0.25,1,,
731471307,68,,,8,211,,2,2.0,2016.0
865589621,89,0.0,2.0,19,55,0.25,0,,
865589621,89,,,19,211,,2,3.0,2016.0
514427770,69,0.0,2.0,8,76,0.25,1,,
138410002,68,,,8,211,,2,3.0,2016.0
802576866,69,0.0,2.0,8,48,0.25,0,2.0,
887502847,68,,,8,211,,2,2.0,2016.0
133746071,68,0.0,2.0,8,76,0.25,0,,
133746071,68,,,8,238,,2,3.0,2016.0
1152039403,72,0.0,2.0,8,56,0.25,0,,
1152039403,89,,,8,206,,2,3.0,2016.0
77539620,85,,2.0,8,16,0.25,1,,
77539620,85,,,8,115,,2,4.0,2016.0
77539620,85,,,8,115,,2,4.0,2015.0
77539620,85,,,8,189,0.25,2,1.0,2017.0
943655309,73,0.0,2.0,8,27,0.25,0,3.0,
943655309,70,0.0,2.0,5,42,0.25,0,,
943655309,73,,,8,148,,2,3.0,2016.0
1179650368,153,,,8,222,,2,4.0,2016.0
825085781,69,,,8,93,,2,2.0,2016.0
1005387686,114,,,19,211,,2,1.0,2016.0
1005387686,114,,,19,211,,2,3.0,2015.0
1005387686,114,,,19,211,0.25,2,1.0,2017.0
716838666,68,,,8,211,,2,2.0,2016.0
1191254660,68,0.0,2.0,8,27,0.25,0,2.0,
1191254660,68,,,8,148,,2,3.0,2016.0
497196864,105,,,8,211,,2,6.0,2016.0
532386625,68,0.0,2.0,8,23,0.25,0,2.0,
532386625,68,,,8,142,,2,2.0,2016.0
532386625,68,,,8,198,0.25,2,2.0,2017.0
460609992,68,0.0,2.0,8,55,0.25,0,3.0,
460609992,68,,,8,211,,2,2.0,2016.0
460609992,68,,,8,211,,2,2.0,2015.0
1058552500,68,0.0,2.0,8,67,0.25,0,1.0,
1058552500,68,,,8,222,,2,3.0,2016.0
1094485325,68,0.0,2.0,8,55,0.25,0,2.0,
1094485325,68,,,8,211,,2,2.0,2016.0
923931235,68,0.0,2.0,8,55,0.25,0,1.0,
923931235,68,,,8,211,,2,2.0,2016.0
923931235,66,,,8,211,,2,2.0,2015.0
635706789,68,,,19,183,0.25,2,2.0,2017.0
6752179,146,,,27,168,,2,91.0,2016.0
147272407,70,,,8,214,0.25,2,2.0,2017.0
38313730,68,,,8,211,,2,2.0,2016.0
1064971831,73,,2.0,8,67,0.25,1,,
1064971831,73,,,8,222,,2,2.0,2016.0
1155942293,146,,,1,167,,2,102.0,2016.0
944041827,68,0.0,2.0,8,55,0.25,0,3.0,
135026013,68,,,8,211,,2,3.0,2016.0
881639012,68,,,8,211,,2,2.0,2016.0
881639012,68,,,8,211,,2,2.0,2015.0
99774355,73,,,8,228,,2,3.0,2016.0
905790224,73,,,8,210,,2,2.0,2016.0
